steps,scenario,seed,ppo_wait,fixed_30s_wait,fixed_45s_wait,fixed_60s_wait,pct_vs_30s,pct_vs_45s,pct_vs_60s,beats_all_fixed
40000,Low,972858,78581007.0,12573791.0,3867480.0,3394689.0,-525.0,-1931.8,-2214.8,False
20000,Medium,262369,144724715.0,51066589.0,34280321.0,28459350.0,-183.4,-322.2,-408.5,False
50000,Medium,502849,127341068.0,43278165.0,29645021.0,22627311.0,-194.2,-329.6,-462.8,False
30000,High,805671,239890535.0,126731737.0,79099370.0,64513701.0,-89.3,-203.3,-271.8,False
70000,Low,684181,82473377.0,11258314.0,6941259.0,6422066.0,-632.6,-1088.2,-1184.2,False
80000,Medium,924353,109337550.0,51585550.0,34678823.0,28195498.0,-112.0,-215.3,-287.8,False
100000,Low,150208,84582881.0,14533779.0,6779621.0,4517079.0,-482.0,-1147.6,-1772.5,False
90000,High,104308,183678819.0,126770115.0,81223919.0,63669450.0,-44.9,-126.1,-188.5,False
10000,Low,553887,916348780.0,11226273.0,5722287.0,5732556.0,-8062.5,-15913.7,-15885.0,False
60000,High,559738,244288751.0,131693925.0,83429376.0,65237843.0,-85.5,-192.8,-274.5,False
110000,Medium,418368,106216078.0,48679218.0,31961822.0,26533988.0,-118.2,-232.3,-300.3,False
130000,Low,18676,76201809.0,14360415.0,5503058.0,3740860.0,-430.6,-1284.7,-1937.0,False
120000,High,658784,189586092.0,117252698.0,79010598.0,66243748.0,-61.7,-140.0,-186.2,False
140000,Medium,25078,109915635.0,46226132.0,32193869.0,28110919.0,-137.8,-241.4,-291.0,False
160000,Low,43501,85668327.0,10276422.0,2974920.0,3309710.0,-733.6,-2779.7,-2488.4,False
150000,High,552663,195922301.0,125124922.0,77512455.0,62550305.0,-56.6,-152.8,-213.2,False
170000,Medium,309201,137309079.0,47369884.0,35171910.0,27595486.0,-189.9,-290.4,-397.6,False
190000,Low,344065,92435181.0,15461428.0,8540728.0,5727590.0,-497.8,-982.3,-1513.9,False
180000,High,922019,194038693.0,131249557.0,82839049.0,68799836.0,-47.8,-134.2,-182.0,False
200000,Medium,973692,139547172.0,46265644.0,33911310.0,25435183.0,-201.6,-311.5,-448.6,False
220000,Low,257211,84613187.0,16903743.0,9576946.0,5465690.0,-400.6,-783.5,-1448.1,False
230000,Medium,646674,131576245.0,43092626.0,30516189.0,24526949.0,-205.3,-331.2,-436.5,False
250000,Low,503252,82976720.0,12899996.0,6382157.0,3998779.0,-543.2,-1200.1,-1975.1,False
210000,High,235078,243859162.0,132536012.0,85360016.0,70000667.0,-84.0,-185.7,-248.4,False
260000,Medium,733077,139004235.0,45370095.0,34688845.0,29374692.0,-206.4,-300.7,-373.2,False
280000,Low,176941,94111150.0,15264661.0,10087758.0,7395544.0,-516.5,-832.9,-1172.5,False
240000,High,593609,244195563.0,130546080.0,83426352.0,66890525.0,-87.1,-192.7,-265.1,False
290000,Medium,985486,132352560.0,45935405.0,32939140.0,27342310.0,-188.1,-301.8,-384.1,False
310000,Low,132816,87732036.0,14990824.0,5304428.0,3830153.0,-485.2,-1553.9,-2190.6,False
270000,High,332131,236988731.0,123814771.0,79384413.0,66586190.0,-91.4,-198.5,-255.9,False
320000,Medium,941,141791801.0,46243766.0,34837764.0,29939781.0,-206.6,-307.0,-373.6,False
340000,Low,692718,82107417.0,13976870.0,7996324.0,5105592.0,-487.5,-926.8,-1508.2,False
370000,Low,439483,55567608.0,10449100.0,6139428.0,3970626.0,-431.8,-805.1,-1299.5,False
350000,Medium,221297,136605070.0,45934444.0,32660048.0,26671048.0,-197.4,-318.3,-412.2,False
380000,Medium,633262,137002481.0,45805527.0,36008077.0,29768346.0,-199.1,-280.5,-360.2,False
300000,High,474135,966026498.0,114179715.0,75866376.0,64175735.0,-746.1,-1173.3,-1405.3,False
330000,High,180462,948770421.0,131163794.0,83413653.0,66958537.0,-623.3,-1037.4,-1317.0,False
390000,High,166094,216933685.0,130887105.0,84068485.0,66198882.0,-65.7,-158.0,-227.7,False
410000,Medium,93858,132826791.0,42691938.0,32083450.0,25511210.0,-211.1,-314.0,-420.7,False
430000,Low,744418,54383008.0,15292144.0,6079750.0,3872919.0,-255.6,-794.5,-1304.2,False
440000,Medium,456953,57351867.0,43529835.0,32042267.0,27683851.0,-31.8,-79.0,-107.2,False
360000,High,418372,960249634.0,116909649.0,78302356.0,63476182.0,-721.4,-1126.3,-1412.8,False
460000,Low,449801,45205240.0,12476753.0,6501376.0,3857058.0,-262.3,-595.3,-1072.0,False
450000,High,182017,114991681.0,123312407.0,78854944.0,63399359.0,6.7,-45.8,-81.4,False
400000,Low,405410,921484044.0,17900128.0,7361210.0,4849818.0,-5047.9,-12418.1,-18900.4,False
470000,Medium,761677,88203128.0,47939042.0,34511694.0,29801676.0,-84.0,-155.6,-196.0,False
420000,High,642522,961608060.0,122169865.0,81715397.0,67900889.0,-687.1,-1076.8,-1316.2,False
490000,Low,419226,865175425.0,12174271.0,7524094.0,6907026.0,-7006.6,-11398.7,-12426.0,False
480000,High,537975,958385482.0,124889540.0,80625795.0,64200601.0,-667.4,-1088.7,-1392.8,False
500000,Medium,528511,934573049.0,45570042.0,35755772.0,30787679.0,-1950.8,-2513.8,-2935.5,False
520000,Low,954689,859061212.0,16683073.0,9788900.0,6642613.0,-5049.3,-8675.9,-12832.6,False
510000,High,421696,964647609.0,119909113.0,76643712.0,59985811.0,-704.5,-1158.6,-1508.1,False
530000,Medium,975901,937304986.0,49737253.0,34947379.0,28922153.0,-1784.5,-2582.0,-3140.8,False
540000,High,906669,956540340.0,121439885.0,79885101.0,68095382.0,-687.7,-1097.4,-1304.7,False
550000,Low,532771,917239654.0,15539547.0,5261021.0,3871950.0,-5802.6,-17334.6,-23589.3,False
560000,Medium,346928,926064198.0,46114366.0,34343109.0,29818050.0,-1908.2,-2596.5,-3005.7,False
570000,High,275445,950468406.0,123374276.0,80311349.0,66793410.0,-670.4,-1083.5,-1323.0,False
580000,Low,244373,913844918.0,13444535.0,7814820.0,4740452.0,-6697.1,-11593.7,-19177.6,False
590000,Medium,914803,931803337.0,47229001.0,33930854.0,28202913.0,-1872.9,-2646.2,-3203.9,False
630000,High,600706,210549825.0,123087536.0,80302743.0,68590489.0,-71.1,-162.2,-207.0,False
600000,High,514968,962659794.0,124552821.0,80018712.0,64223251.0,-672.9,-1103.0,-1398.9,False
610000,Low,635840,882863348.0,14885490.0,7298542.0,4808382.0,-5831.0,-11996.4,-18260.9,False
680000,Medium,146429,69619423.0,46037569.0,35187760.0,29784368.0,-51.2,-97.9,-133.7,False
620000,Medium,414003,938778152.0,48305186.0,33191745.0,26092715.0,-1843.4,-2728.3,-3497.9,False
660000,High,830499,215968455.0,122137434.0,77816987.0,61313588.0,-76.8,-177.5,-252.2,False
640000,Low,538137,923591042.0,15576427.0,7173679.0,6397831.0,-5829.4,-12774.7,-14336.0,False
700000,Low,852565,50054933.0,15188771.0,11036875.0,8387654.0,-229.6,-353.5,-496.8,False
710000,Medium,524514,70487992.0,43833564.0,30900620.0,24900053.0,-60.8,-128.1,-183.1,False
690000,High,152478,171327397.0,117189101.0,76514721.0,61743344.0,-46.2,-123.9,-177.5,False
650000,Medium,889088,937760935.0,50392295.0,32759509.0,24585081.0,-1760.9,-2762.6,-3714.3,False
730000,Low,144104,53214586.0,14720652.0,7491159.0,6519610.0,-261.5,-610.4,-716.2,False
670000,Low,993837,922831515.0,12987433.0,5430784.0,4070809.0,-7005.6,-16892.6,-22569.5,False
740000,Medium,987058,78828126.0,46418393.0,31905248.0,25503388.0,-69.8,-147.1,-209.1,False
720000,High,387657,168774099.0,122128541.0,82810528.0,68171956.0,-38.2,-103.8,-147.6,False
760000,Low,982547,50284341.0,14049597.0,7636237.0,4277392.0,-257.9,-558.5,-1075.6,False
770000,Medium,291086,80637995.0,49437646.0,34234286.0,28619228.0,-63.1,-135.5,-181.8,False
750000,High,624582,175195196.0,115496989.0,75170151.0,59482831.0,-51.7,-133.1,-194.5,False
790000,Low,960390,50951430.0,15641186.0,7328669.0,4666599.0,-225.8,-595.2,-991.8,False
800000,Medium,284515,75892289.0,47043524.0,34430213.0,28613831.0,-61.3,-120.4,-165.2,False
820000,Low,666738,21291300.0,12050415.0,4788927.0,3889029.0,-76.7,-344.6,-447.5,False
780000,High,299817,187104374.0,130756802.0,83124912.0,61660907.0,-43.1,-125.1,-203.4,False
830000,Medium,781651,129326157.0,52550339.0,34084664.0,26873767.0,-146.1,-279.4,-381.2,False
810000,High,100078,186211175.0,130170905.0,79840556.0,64294736.0,-43.1,-133.2,-189.6,False
850000,Low,207251,907775335.0,11459089.0,5466018.0,4060889.0,-7821.9,-16507.6,-22254.1,False
840000,High,647459,966624939.0,131042353.0,80476683.0,59479159.0,-637.6,-1101.1,-1525.1,False
860000,Medium,348144,927179031.0,47839131.0,35103644.0,29953570.0,-1838.1,-2541.3,-2995.4,False
880000,Low,328023,904590874.0,13311108.0,6102599.0,4362504.0,-6695.8,-14723.0,-20635.6,False
870000,High,984715,987185530.0,127957711.0,81024177.0,64266768.0,-671.5,-1118.4,-1436.1,False
890000,Medium,95374,933543140.0,48515843.0,34097754.0,27742288.0,-1824.2,-2637.8,-3265.1,False
900000,High,114405,961806920.0,133468319.0,88240704.0,71619925.0,-620.6,-990.0,-1242.9,False
910000,Low,385484,892153266.0,15267910.0,5418446.0,4067374.0,-5743.3,-16365.1,-21834.4,False
970000,Low,222490,77016049.0,12799940.0,7453091.0,5657509.0,-501.7,-933.3,-1261.3,False
920000,Medium,892478,926626186.0,44978592.0,34555521.0,28004812.0,-1960.1,-2581.6,-3208.8,False
930000,High,604127,963773505.0,131082772.0,79603261.0,64074033.0,-635.2,-1110.7,-1404.2,False
960000,High,99448,234534812.0,113219679.0,77145533.0,62667938.0,-107.2,-204.0,-274.3,False
940000,Low,447846,887908158.0,14900470.0,7868348.0,5830270.0,-5858.9,-11184.6,-15129.3,False
980000,Medium,104790,142900120.0,50102104.0,37404256.0,31290743.0,-185.2,-282.0,-356.7,False
1000000,Low,407795,57971709.0,15049295.0,5263026.0,3892170.0,-285.2,-1001.5,-1389.4,False
950000,Medium,196090,933979915.0,43379173.0,32012073.0,26049277.0,-2053.1,-2817.6,-3485.4,False
1010000,Medium,874736,104148019.0,46681750.0,33960056.0,27240534.0,-123.1,-206.7,-282.3,False
1030000,Low,235692,64276789.0,16853386.0,8072503.0,5708335.0,-281.4,-696.2,-1026.0,False
990000,High,414427,247757757.0,127015354.0,82048163.0,66677386.0,-95.1,-202.0,-271.6,False
1040000,Medium,764133,111498760.0,42243050.0,31472787.0,26091280.0,-163.9,-254.3,-327.3,False
1060000,Low,591571,59559295.0,11255852.0,4106774.0,3687937.0,-429.1,-1350.3,-1515.0,False
1020000,High,732608,208097387.0,122741664.0,82143656.0,69882407.0,-69.5,-153.3,-197.8,False
1070000,Medium,596604,107481028.0,44387004.0,34825416.0,30580975.0,-142.1,-208.6,-251.5,False
1090000,Low,109588,69472996.0,12441017.0,6083502.0,4846022.0,-458.4,-1042.0,-1333.6,False
1050000,High,751363,233761074.0,114976934.0,73294163.0,60654040.0,-103.3,-218.9,-285.4,False
1100000,Medium,597197,128394633.0,46716371.0,35244449.0,30508861.0,-174.8,-264.3,-320.8,False
1120000,Low,215450,63808045.0,13228034.0,4741512.0,3607304.0,-382.4,-1245.7,-1668.9,False
1080000,High,571255,235172593.0,127159153.0,79222359.0,62791632.0,-84.9,-196.9,-274.5,False
1130000,Medium,809206,127104541.0,47890482.0,33483651.0,24940512.0,-165.4,-279.6,-409.6,False
1150000,Low,389154,61357462.0,12426628.0,5221423.0,3711920.0,-393.8,-1075.1,-1553.0,False
1110000,High,316207,229414788.0,118886499.0,76127192.0,56756355.0,-93.0,-201.4,-304.2,False
1160000,Medium,8820,105914147.0,47358933.0,35360098.0,30441724.0,-123.6,-199.5,-247.9,False
1180000,Low,457863,45457754.0,14167303.0,4700373.0,3580489.0,-220.9,-867.1,-1169.6,False
1140000,High,606759,250298506.0,130117477.0,83335855.0,63561871.0,-92.4,-200.3,-293.8,False
1190000,Medium,948782,110725637.0,45769089.0,31096493.0,23360693.0,-141.9,-256.1,-374.0,False
1210000,Low,795120,47379148.0,11641888.0,3790615.0,3536327.0,-307.0,-1149.9,-1239.8,False
1170000,High,247805,247963249.0,127465234.0,81607818.0,69120789.0,-94.5,-203.8,-258.7,False
1240000,Low,907915,28420858.0,15190074.0,6820792.0,4634047.0,-87.1,-316.7,-513.3,False
1220000,Medium,222155,110473052.0,48759949.0,35626327.0,31585591.0,-126.6,-210.1,-249.8,False
1250000,Medium,296814,75194904.0,46345750.0,31078227.0,24199090.0,-62.2,-142.0,-210.7,False
1200000,High,699771,261584313.0,129406944.0,82010454.0,67314780.0,-102.1,-219.0,-288.6,False
1270000,Low,27977,18556139.0,11864419.0,5678930.0,4156281.0,-56.4,-226.8,-346.5,False
1230000,High,802525,221951895.0,118206240.0,79297640.0,64871241.0,-87.8,-179.9,-242.1,False
1280000,Medium,324145,63458567.0,46877545.0,31373683.0,26560904.0,-35.4,-102.3,-138.9,False
1260000,High,872073,173077595.0,130048644.0,83810540.0,68726485.0,-33.1,-106.5,-151.8,False
1300000,Low,764074,27793703.0,15055007.0,5712258.0,3789857.0,-84.6,-386.6,-633.4,False
1310000,Medium,749785,82450809.0,52323361.0,36698112.0,31818724.0,-57.6,-124.7,-159.1,False
1330000,Low,841099,31035203.0,13985679.0,6820783.0,4255722.0,-121.9,-355.0,-629.3,False
1290000,High,809010,205425634.0,125189415.0,79654155.0,64848986.0,-64.1,-157.9,-216.8,False
1340000,Medium,651931,64256115.0,48260786.0,33807401.0,26563383.0,-33.1,-90.1,-141.9,False
1320000,High,921707,163289651.0,130396705.0,86500205.0,65684217.0,-25.2,-88.8,-148.6,False
