steps,High,Low,Medium,mean_pct_vs_60s
10000,-792.0,-1044.5,-391.3,-742.6
30000,-1308.8,-2426.9,-414.8,-1383.5
50000,-1379.3,-2356.0,-415.7,-1383.7
70000,-1381.4,-24706.4,-3385.2,-9824.3
90000,-1387.6,-24770.9,-3381.2,-9846.6
110000,-1386.0,-24773.1,-3381.1,-9846.7
130000,-1384.8,-24793.7,-3381.9,-9853.5
150000,-1423.1,-24784.2,-3387.7,-9865.0
170000,-1387.7,-24798.1,-3382.2,-9856.0
190000,-1423.3,-24783.0,-3387.8,-9864.7
210000,-1387.7,-24776.2,-3382.0,-9848.6
230000,-1384.8,-24773.6,-3381.1,-9846.5
250000,-1384.4,-24770.7,-3381.2,-9845.4
270000,-1384.6,-24773.6,-3381.2,-9846.5
290000,-1387.0,-24781.4,-3341.1,-9836.5
310000,-774.7,-24791.2,-1904.9,-9156.9
330000,-772.5,-24791.2,-1909.5,-9157.7
350000,-264.3,-24791.2,-1896.2,-8983.9
370000,-1385.9,-24793.7,-3386.1,-9855.2
390000,-262.4,-24792.3,-1857.3,-8970.7
410000,-1380.6,-24785.8,-3381.1,-9849.2
430000,-1388.1,-24778.2,-3382.4,-9849.6
450000,-1385.3,-24788.7,-3382.0,-9852.0
470000,-1385.3,-24778.0,-3381.2,-9848.2
490000,-1389.6,-24791.6,-3354.7,-9845.3
510000,-261.9,-24791.2,-1871.3,-8974.8
530000,-264.4,-24791.2,-1902.0,-8985.9
550000,-1386.5,-24791.6,-3387.6,-9855.2
570000,-1387.9,-24793.0,-3381.3,-9854.1
590000,-1389.0,-24793.0,-1897.1,-9359.7
610000,-263.0,-24791.2,-1861.1,-8971.8
630000,-796.2,-12976.1,-251.8,-4674.7
650000,-74.8,-920.6,-139.6,-378.3
670000,-74.5,-943.0,-140.5,-386.0
690000,-73.3,-985.5,-139.2,-399.3
710000,-73.3,-985.5,-134.6,-397.8
730000,-76.3,-1064.7,-115.8,-418.9
750000,-76.3,-991.9,-114.7,-394.3
770000,-163.7,-1118.4,-195.8,-492.6
790000,-64.4,-355.3,-43.4,-154.4
810000,-143.5,-1327.7,-83.8,-518.3
830000,-64.4,-353.8,-34.6,-150.9
850000,-61.0,-216.5,-51.6,-109.7
870000,-46.6,-82.3,35.5,-31.1
890000,3.5,-5.5,7.0,1.7
910000,5.1,-6.6,8.1,2.2
930000,5.0,-6.5,8.1,2.2
950000,5.0,-0.2,8.1,4.3
970000,1.7,-63.6,13.0,-16.3
990000,4.8,-12.0,10.1,1.0
1010000,-13.4,-96.2,33.8,-25.3
1030000,-161.6,-1299.9,-118.8,-526.8
1050000,-168.3,-1287.8,-180.7,-545.6
1070000,-239.9,-24790.3,-1829.4,-8953.2
1090000,-244.7,-24827.2,-1885.9,-8985.9
1110000,-204.8,-24790.4,-1803.4,-8932.9
1130000,-168.3,-1285.5,-170.5,-541.4
1150000,-167.9,-1278.4,-162.6,-536.3
1170000,-216.9,-1126.1,-266.1,-536.4
1190000,-260.0,-1152.1,-318.1,-576.7
1210000,-166.2,-817.4,-182.5,-388.7
1230000,-84.7,-961.3,-121.6,-389.2
1250000,1.7,-147.6,36.0,-36.6
1270000,3.5,-7.4,7.0,1.0
1290000,1.2,-109.7,34.2,-24.8
1310000,3.5,-7.7,4.9,0.2
1330000,3.5,-7.3,4.9,0.4
1350000,3.4,-5.9,9.1,2.2
1370000,-80.9,-1217.3,-114.3,-470.8
1390000,-94.5,-284.5,-57.5,-145.5
1410000,-40.0,-1009.4,-17.0,-355.5
1430000,-64.3,-1165.8,-79.4,-436.5
1450000,-176.8,-1276.2,-177.9,-543.6
1470000,-176.8,-1286.0,-167.2,-543.3
1490000,-763.0,-1289.4,-141.2,-731.2
1510000,-162.6,-1259.0,-153.9,-525.2
1530000,-5.5,-38.0,35.3,-2.7
1550000,-10.1,-23.3,36.6,1.1
1570000,-10.1,-15.1,34.5,3.1
1590000,-73.1,-1278.8,-161.5,-504.5
1610000,-42.0,-1272.4,-57.9,-457.4
1630000,-20.4,-1245.5,-22.0,-429.3
1650000,-39.4,-1280.2,-17.7,-445.8
1670000,3.5,-7.3,4.9,0.4
1690000,3.5,-7.7,4.9,0.2
1710000,3.5,-7.7,4.9,0.2
1730000,3.5,-6.3,8.1,1.8
1750000,5.0,-19.7,8.1,-2.2
1770000,3.5,-6.3,8.1,1.8
1790000,-5.2,-871.9,36.9,-280.1
1810000,-72.4,-745.2,-29.5,-282.4
1830000,-83.4,-380.3,-63.0,-175.6
1850000,-139.3,-24835.6,-79.9,-8351.6
1870000,-141.7,-24833.6,-1788.1,-8921.1
1890000,-143.8,-24832.6,-101.7,-8359.4
1910000,-176.4,-24819.8,-1838.1,-8944.8
