steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
10000,High,42,232822732.0,131575601.0,-76.9,82717351.0,-181.5,66379230.0,-250.7
10000,High,123,923049948.0,129452763.0,-613.0,81779118.0,-1028.7,63204393.0,-1360.4
30000,High,42,903136107.0,131575601.0,-586.4,82717351.0,-991.8,66379230.0,-1260.6
30000,High,123,922400197.0,129452763.0,-612.5,81779118.0,-1027.9,63204393.0,-1359.4
50000,High,42,959398852.0,131575601.0,-629.2,82717351.0,-1059.9,66379230.0,-1345.3
50000,High,123,957592435.0,129452763.0,-639.7,81779118.0,-1070.9,63204393.0,-1415.1
70000,High,42,963231684.0,131575601.0,-632.1,82717351.0,-1064.5,66379230.0,-1351.1
70000,High,123,956476316.0,129452763.0,-638.9,81779118.0,-1069.6,63204393.0,-1413.3
90000,High,42,963646051.0,131575601.0,-632.4,82717351.0,-1065.0,66379230.0,-1351.7
90000,High,123,964004845.0,129452763.0,-644.7,81779118.0,-1078.8,63204393.0,-1425.2
110000,High,42,961141021.0,131575601.0,-630.5,82717351.0,-1062.0,66379230.0,-1348.0
110000,High,123,964473649.0,129452763.0,-645.0,81779118.0,-1079.4,63204393.0,-1426.0
130000,High,42,961363573.0,131575601.0,-630.7,82717351.0,-1062.2,66379230.0,-1348.3
130000,High,123,962655985.0,129452763.0,-643.6,81779118.0,-1077.1,63204393.0,-1423.1
150000,High,42,992677172.0,131575601.0,-654.5,82717351.0,-1100.1,66379230.0,-1395.5
150000,High,123,981051016.0,129452763.0,-657.8,81779118.0,-1099.6,63204393.0,-1452.2
170000,High,42,963350417.0,131575601.0,-632.2,82717351.0,-1064.6,66379230.0,-1351.3
170000,High,123,964462677.0,129452763.0,-645.0,81779118.0,-1079.4,63204393.0,-1425.9
190000,High,42,992044947.0,131575601.0,-654.0,82717351.0,-1099.3,66379230.0,-1394.5
190000,High,123,981931005.0,129452763.0,-658.5,81779118.0,-1100.7,63204393.0,-1453.6
210000,High,42,963355872.0,131575601.0,-632.2,82717351.0,-1064.6,66379230.0,-1351.3
210000,High,123,964473649.0,129452763.0,-645.0,81779118.0,-1079.4,63204393.0,-1426.0
230000,High,42,961433489.0,131575601.0,-630.7,82717351.0,-1062.3,66379230.0,-1348.4
230000,High,123,962655985.0,129452763.0,-643.6,81779118.0,-1077.1,63204393.0,-1423.1
250000,High,42,962702857.0,131575601.0,-631.7,82717351.0,-1063.8,66379230.0,-1350.3
250000,High,123,960871136.0,129452763.0,-642.3,81779118.0,-1075.0,63204393.0,-1420.3
270000,High,42,962147806.0,131575601.0,-631.3,82717351.0,-1063.2,66379230.0,-1349.5
270000,High,123,961705372.0,129452763.0,-642.9,81779118.0,-1076.0,63204393.0,-1421.6
290000,High,42,962098012.0,131575601.0,-631.2,82717351.0,-1063.1,66379230.0,-1349.4
290000,High,123,964754503.0,129452763.0,-645.3,81779118.0,-1079.7,63204393.0,-1426.4
310000,High,42,896977824.0,131575601.0,-581.7,82717351.0,-984.4,66379230.0,-1251.3
310000,High,123,236531841.0,129452763.0,-82.7,81779118.0,-189.2,63204393.0,-274.2
330000,High,42,896977824.0,131575601.0,-581.7,82717351.0,-984.4,66379230.0,-1251.3
330000,High,123,233575826.0,129452763.0,-80.4,81779118.0,-185.6,63204393.0,-269.6
350000,High,42,240119527.0,131575601.0,-82.5,82717351.0,-190.3,66379230.0,-261.7
350000,High,123,231899095.0,129452763.0,-79.1,81779118.0,-183.6,63204393.0,-266.9
370000,High,42,962512164.0,131575601.0,-631.5,82717351.0,-1063.6,66379230.0,-1350.0
370000,High,123,962947038.0,129452763.0,-643.9,81779118.0,-1077.5,63204393.0,-1423.5
390000,High,42,240494674.0,131575601.0,-82.8,82717351.0,-190.7,66379230.0,-262.3
390000,High,123,229140512.0,129452763.0,-77.0,81779118.0,-180.2,63204393.0,-262.5
410000,High,42,956487480.0,131575601.0,-626.9,82717351.0,-1056.3,66379230.0,-1340.9
410000,High,123,962108117.0,129452763.0,-643.2,81779118.0,-1076.5,63204393.0,-1422.2
430000,High,42,963669000.0,131575601.0,-632.4,82717351.0,-1065.0,66379230.0,-1351.8
430000,High,123,964704669.0,129452763.0,-645.2,81779118.0,-1079.6,63204393.0,-1426.3
450000,High,42,961771699.0,131575601.0,-631.0,82717351.0,-1062.7,66379230.0,-1348.9
450000,High,123,962947038.0,129452763.0,-643.9,81779118.0,-1077.5,63204393.0,-1423.5
470000,High,42,961681146.0,131575601.0,-630.9,82717351.0,-1062.6,66379230.0,-1348.8
470000,High,123,962959980.0,129452763.0,-643.9,81779118.0,-1077.5,63204393.0,-1423.6
490000,High,42,963796764.0,131575601.0,-632.5,82717351.0,-1065.2,66379230.0,-1352.0
490000,High,123,966536689.0,129452763.0,-646.6,81779118.0,-1081.9,63204393.0,-1429.2
510000,High,42,238966070.0,131575601.0,-81.6,82717351.0,-188.9,66379230.0,-260.0
510000,High,123,229948071.0,129452763.0,-77.6,81779118.0,-181.2,63204393.0,-263.8
530000,High,42,241052618.0,131575601.0,-83.2,82717351.0,-191.4,66379230.0,-263.1
530000,High,123,231144127.0,129452763.0,-78.6,81779118.0,-182.6,63204393.0,-265.7
550000,High,42,965562710.0,131575601.0,-633.8,82717351.0,-1067.3,66379230.0,-1354.6
550000,High,123,960702817.0,129452763.0,-642.1,81779118.0,-1074.8,63204393.0,-1420.0
570000,High,42,965050685.0,131575601.0,-633.5,82717351.0,-1066.7,66379230.0,-1353.8
570000,High,123,963015901.0,129452763.0,-643.9,81779118.0,-1077.6,63204393.0,-1423.7
590000,High,42,965562710.0,131575601.0,-633.8,82717351.0,-1067.3,66379230.0,-1354.6
590000,High,123,963986185.0,129452763.0,-644.7,81779118.0,-1078.8,63204393.0,-1425.2
610000,High,42,238966070.0,131575601.0,-81.6,82717351.0,-188.9,66379230.0,-260.0
610000,High,123,231371873.0,129452763.0,-78.7,81779118.0,-182.9,63204393.0,-266.1
630000,High,42,957071245.0,131575601.0,-627.4,82717351.0,-1057.0,66379230.0,-1341.8
630000,High,123,204254489.0,129452763.0,-57.8,81779118.0,-149.8,63204393.0,-223.2
650000,High,42,116719709.0,131575601.0,11.3,82717351.0,-41.1,66379230.0,-75.8
650000,High,123,109774344.0,129452763.0,15.2,81779118.0,-34.2,63204393.0,-73.7
670000,High,42,116443688.0,131575601.0,11.5,82717351.0,-40.8,66379230.0,-75.4
670000,High,123,109626865.0,129452763.0,15.3,81779118.0,-34.1,63204393.0,-73.4
690000,High,42,115434100.0,131575601.0,12.3,82717351.0,-39.6,66379230.0,-73.9
690000,High,123,109131720.0,129452763.0,15.7,81779118.0,-33.4,63204393.0,-72.7
710000,High,42,114872515.0,131575601.0,12.7,82717351.0,-38.9,66379230.0,-73.1
710000,High,123,109640748.0,129452763.0,15.3,81779118.0,-34.1,63204393.0,-73.5
730000,High,42,118810881.0,131575601.0,9.7,82717351.0,-43.6,66379230.0,-79.0
730000,High,123,109660654.0,129452763.0,15.3,81779118.0,-34.1,63204393.0,-73.5
750000,High,42,118810881.0,131575601.0,9.7,82717351.0,-43.6,66379230.0,-79.0
750000,High,123,109660654.0,129452763.0,15.3,81779118.0,-34.1,63204393.0,-73.5
770000,High,42,172831897.0,131575601.0,-31.4,82717351.0,-108.9,66379230.0,-160.4
770000,High,123,168820000.0,129452763.0,-30.4,81779118.0,-106.4,63204393.0,-167.1
790000,High,42,109435675.0,131575601.0,16.8,82717351.0,-32.3,66379230.0,-64.9
790000,High,123,103591211.0,129452763.0,20.0,81779118.0,-26.7,63204393.0,-63.9
810000,High,42,165705048.0,131575601.0,-25.9,82717351.0,-100.3,66379230.0,-149.6
810000,High,123,149893855.0,129452763.0,-15.8,81779118.0,-83.3,63204393.0,-137.2
830000,High,42,111194609.0,131575601.0,15.5,82717351.0,-34.4,66379230.0,-67.5
830000,High,123,101866248.0,129452763.0,21.3,81779118.0,-24.6,63204393.0,-61.2
850000,High,42,107986639.0,131575601.0,17.9,82717351.0,-30.5,66379230.0,-62.7
850000,High,123,100671465.0,129452763.0,22.2,81779118.0,-23.1,63204393.0,-59.3
870000,High,42,104854196.0,131575601.0,20.3,82717351.0,-26.8,66379230.0,-58.0
870000,High,123,85098382.0,129452763.0,34.3,81779118.0,-4.1,63204393.0,-34.6
890000,High,42,65730201.0,131575601.0,50.0,82717351.0,20.5,66379230.0,1.0
890000,High,123,59341293.0,129452763.0,54.2,81779118.0,27.4,63204393.0,6.1
910000,High,42,63582294.0,131575601.0,51.7,82717351.0,23.1,66379230.0,4.2
910000,High,123,59341293.0,129452763.0,54.2,81779118.0,27.4,63204393.0,6.1
930000,High,42,63582294.0,131575601.0,51.7,82717351.0,23.1,66379230.0,4.2
930000,High,123,59515439.0,129452763.0,54.0,81779118.0,27.2,63204393.0,5.8
950000,High,42,63582294.0,131575601.0,51.7,82717351.0,23.1,66379230.0,4.2
950000,High,123,59515439.0,129452763.0,54.0,81779118.0,27.2,63204393.0,5.8
970000,High,42,67804909.0,131575601.0,48.5,82717351.0,18.0,66379230.0,-2.1
970000,High,123,59515439.0,129452763.0,54.0,81779118.0,27.2,63204393.0,5.8
990000,High,42,63837136.0,131575601.0,51.5,82717351.0,22.8,66379230.0,3.8
990000,High,123,59515439.0,129452763.0,54.0,81779118.0,27.2,63204393.0,5.8
