steps,High,Low,Medium,mean_pct_vs_60s
100000,-796.1,-2426.9,-414.8,-1212.6
200000,-96.4,-896.5,-118.5,-370.5
300000,-74.1,-109.7,-48.2,-77.3
400000,4.4,14.5,37.0,18.6
500000,3.2,14.2,17.2,11.5
600000,3.6,8.8,16.0,9.5
700000,3.6,-6.2,8.0,1.8
800000,3.6,5.2,7.0,5.3
900000,3.5,-6.9,6.7,1.1
1000000,3.5,-6.0,6.8,1.4
1100000,3.5,-4.0,6.6,2.0
1200000,3.5,11.7,23.6,12.9
1300000,3.5,10.3,19.9,11.2
1400000,8.0,41.2,59.4,36.2
1500000,3.8,32.8,48.5,28.4
1600000,-35.9,41.7,49.4,18.4
1700000,3.9,25.6,29.1,19.5
1800000,3.4,33.0,38.5,25.0
1900000,4.3,37.2,45.7,29.1
2000000,3.6,31.6,39.3,24.8
2100000,4.2,40.1,50.1,31.5
2200000,6.6,47.1,58.8,37.5
2300000,8.1,44.8,62.2,38.4
2400000,8.0,29.2,59.2,32.1
2500000,4.3,-6.5,5.8,1.2
2600000,3.5,-7.2,4.9,0.4
2700000,3.5,-5.7,4.9,0.9
2800000,3.5,-5.7,4.9,0.9
2900000,3.5,-5.6,6.0,1.3
3000000,3.5,-5.6,5.9,1.3
3100000,3.5,4.8,6.8,5.0
3200000,3.5,18.0,10.5,10.7
3300000,3.4,28.6,30.3,20.8
3400000,4.0,33.1,29.3,22.1
3500000,7.7,33.8,58.8,33.4
3600000,7.6,40.2,60.6,36.1
3700000,6.2,41.7,52.4,33.4
3800000,7.4,41.3,46.0,31.6
3900000,4.8,27.2,32.9,21.6
4000000,6.3,33.1,39.2,26.2
4100000,6.9,29.2,39.9,25.3
4200000,7.0,41.7,45.0,31.2
4300000,7.3,35.0,42.0,28.1
4400000,5.6,42.5,45.9,31.3
4500000,7.0,39.2,43.0,29.7
4600000,-0.9,45.5,48.1,30.9
4700000,-0.3,46.3,56.0,34.0
4800000,6.4,40.7,45.6,30.9
4900000,6.3,39.8,43.5,29.9
5000000,7.3,28.0,34.5,23.3
5100000,6.0,26.1,31.6,21.2
5200000,6.2,33.9,35.2,25.1
5300000,8.7,40.3,40.2,29.7
5400000,7.3,33.5,35.3,25.4
5500000,6.0,32.0,33.4,23.8
5600000,6.2,28.5,32.4,22.4
5700000,7.4,35.0,37.9,26.8
5800000,7.2,36.3,35.8,26.4
5900000,7.5,37.0,38.4,27.6
6000000,7.5,39.2,39.0,28.6
