model,scenario,seed,total_wait,arrived,switches
ck200000,Low,42,40860933.0,692,91
ck200000,Low,123,33077760.0,692,89
ck100000,Low,123,86432705.0,670,181
ck200000,Medium,123,58841193.0,1048,100
ck200000,Medium,42,57974493.0,1092,102
ck100000,Low,42,101058365.0,718,220
ck100000,Medium,123,132880014.0,1004,296
ck100000,Medium,42,142351082.0,1064,325
ck100000,High,42,238840464.0,1762,543
ck300000,Low,123,6485235.0,707,78
ck300000,Low,42,9072072.0,692,78
ck300000,Medium,42,35943396.0,1087,88
ck300000,Medium,123,43295864.0,977,88
ck200000,High,123,122503527.0,1720,150
ck200000,High,42,132051212.0,1789,152
ck100000,High,123,922400197.0,1419,1126
ck300000,High,42,116093251.0,1756,139
ck300000,High,123,109571519.0,1690,134
ck400000,Low,42,3364443.0,713,69
ck400000,Low,123,2979702.0,611,70
ck400000,Medium,42,18728511.0,1086,74
ck400000,Medium,123,14973831.0,998,72
ck500000,Low,42,3374601.0,669,67
ck500000,Low,123,2992416.0,692,65
ck400000,High,42,64007120.0,1765,98
ck500000,Medium,123,18320329.0,985,70
ck400000,High,123,59914162.0,1722,95
ck500000,Medium,42,25973491.0,1059,69
ck600000,Low,42,3589377.0,726,65
ck600000,Low,123,3175731.0,690,64
ck500000,High,42,65677541.0,1731,100
ck500000,High,123,59798516.0,1653,99
ck600000,Medium,42,26477171.0,1083,69
ck600000,Medium,123,18414401.0,984,68
ck700000,Low,42,4067608.0,687,61
ck700000,Low,123,3812803.0,669,60
ck600000,High,42,65489856.0,1710,94
ck700000,Medium,123,20624576.0,1052,68
ck700000,Medium,42,28545335.0,1063,70
ck600000,High,123,59452668.0,1709,93
ck800000,Low,42,3755057.0,695,62
ck800000,Low,123,3277885.0,698,62
ck700000,High,42,65646308.0,1747,93
ck700000,High,123,59307601.0,1693,92
ck800000,Medium,123,20873760.0,1002,68
ck800000,Medium,42,28838116.0,1083,69
ck900000,Low,42,4208034.0,736,59
ck900000,Low,123,3725702.0,641,59
ck800000,High,123,59430033.0,1679,93
ck900000,Medium,123,21473626.0,1007,67
ck800000,High,42,65464665.0,1744,94
ck900000,Medium,42,28399347.0,1058,68
ck1000000,Low,42,4142604.0,721,60
ck1000000,Low,123,3721971.0,640,59
ck900000,High,123,59307601.0,1693,92
ck1000000,Medium,42,28376428.0,1061,68
ck900000,High,42,65730201.0,1739,93
ck1000000,Medium,123,21473626.0,1007,67
ck1100000,Low,123,3755150.0,701,60
ck1100000,Low,42,3958359.0,731,59
ck1100000,Medium,123,21522316.0,1029,67
ck1100000,Medium,42,28399347.0,1058,68
ck1000000,High,123,59307601.0,1693,92
ck1000000,High,42,65730201.0,1739,93
ck1200000,Low,42,3486103.0,698,63
ck1200000,Low,123,3063996.0,670,63
ck1200000,Medium,123,16945404.0,995,68
ck1200000,Medium,42,23929692.0,1070,70
ck1100000,High,123,59341293.0,1681,92
ck1100000,High,42,65730201.0,1739,93
ck1300000,Low,42,3525503.0,681,63
ck1300000,Low,123,3129443.0,660,63
ck1300000,Medium,123,17690615.0,1016,69
ck1300000,Medium,42,25151527.0,1053,70
ck1200000,High,123,59307601.0,1693,92
ck1200000,High,42,65730201.0,1739,93
ck1400000,Low,42,2230933.0,672,73
ck1400000,Low,123,2129761.0,702,73
ck1400000,Medium,123,10167177.0,1015,74
ck1400000,Medium,42,11521241.0,1115,75
ck1300000,High,123,59307601.0,1693,92
ck1300000,High,42,65730201.0,1739,93
ck1500000,Low,42,2616563.0,680,68
ck1500000,Low,123,2372972.0,636,69
ck1500000,Medium,42,13985228.0,1082,72
ck1500000,Medium,123,13562735.0,999,72
ck1400000,High,42,61503377.0,1728,95
ck1400000,High,123,57663523.0,1734,94
ck1600000,Low,42,2402562.0,682,81
ck1600000,Low,123,1920536.0,703,79
ck1600000,Medium,123,11876352.0,1001,76
ck1600000,Medium,42,15193410.0,1134,81
ck1500000,High,123,60494294.0,1721,94
ck1500000,High,42,64115615.0,1736,95
ck1700000,Low,123,2684056.0,687,67
ck1700000,Low,42,2838464.0,713,67
ck1700000,Medium,123,16134156.0,978,70
ck1700000,Medium,42,21782745.0,1073,73
ck1600000,High,123,83347081.0,1713,114
ck1600000,High,42,92729144.0,1719,116
ck1800000,Low,123,2431237.0,691,69
ck1800000,Low,42,2541898.0,716,70
ck1800000,Medium,123,15355483.0,1042,71
ck1700000,High,123,59541185.0,1706,93
ck1700000,High,42,64976243.0,1735,94
ck1800000,Medium,42,17539235.0,1112,76
ck1900000,Low,42,2357839.0,718,72
ck1900000,Low,123,2299176.0,742,70
ck1900000,Medium,123,14600830.0,1009,71
ck1900000,Medium,42,14427644.0,1093,76
ck1800000,High,42,64414059.0,1765,93
ck1800000,High,123,60708578.0,1736,92
ck2000000,Low,123,2500212.0,667,69
ck2000000,Low,42,2577368.0,712,69
ck2000000,Medium,123,15092548.0,1003,72
ck2000000,Medium,42,17363138.0,1068,75
ck1900000,High,123,59755736.0,1727,92
ck1900000,High,42,64215476.0,1774,93
ck2100000,Low,42,2192923.0,692,73
ck2100000,Low,123,2250311.0,713,71
ck2100000,Medium,123,13178873.0,995,71
ck2100000,Medium,42,13526150.0,1061,74
ck2000000,High,123,59790884.0,1650,92
ck2000000,High,42,65096490.0,1739,93
ck2200000,Low,42,2024837.0,674,78
ck2200000,Low,123,1899316.0,693,75
ck2200000,Medium,123,10306916.0,1030,76
ck2200000,Medium,42,11702350.0,1075,75
ck2100000,High,123,59790884.0,1650,92
ck2100000,High,42,64312252.0,1721,93
ck2300000,Low,42,2223477.0,671,76
ck2300000,Low,123,1872500.0,689,75
ck2200000,High,123,58550530.0,1752,94
ck2300000,Medium,123,9727827.0,975,75
ck2300000,Medium,42,10461962.0,1119,77
ck2200000,High,42,62440652.0,1658,96
ck2400000,Low,123,2223099.0,657,76
ck2400000,Low,42,3028475.0,719,77
ck2400000,Medium,123,10415722.0,949,75
ck2400000,Medium,42,11410316.0,1122,79
ck2300000,High,123,57925080.0,1689,94
ck2300000,High,42,61155146.0,1768,96
ck2500000,Low,123,3871431.0,652,60
ck2500000,Low,42,4027309.0,712,60
ck2400000,High,123,58042865.0,1698,94
ck2400000,High,42,61169969.0,1760,96
ck2500000,Medium,123,20941615.0,1008,74
ck2500000,Medium,42,29414400.0,1038,74
ck2600000,Low,42,4109577.0,690,59
ck2600000,Low,123,3847476.0,702,60
ck2600000,Medium,123,21858745.0,1028,71
ck2600000,Medium,42,28983200.0,1080,70
ck2500000,High,123,60510929.0,1664,106
ck2500000,High,42,63516441.0,1757,107
ck2700000,Low,42,4109577.0,690,59
ck2700000,Low,123,3733382.0,643,59
ck2700000,Medium,123,21858745.0,1028,66
ck2700000,Medium,42,28983200.0,1080,67
ck2600000,High,123,59341293.0,1681,99
ck2600000,High,42,65730201.0,1739,100
ck2800000,Low,42,4109577.0,690,59
ck2800000,Low,123,3729419.0,641,59
ck2700000,High,42,65730201.0,1739,94
ck2700000,High,123,59341293.0,1681,93
ck2800000,Medium,123,21858745.0,1028,66
ck2800000,Medium,42,28983200.0,1080,67
ck2900000,Low,42,4109577.0,690,59
ck2900000,Low,123,3725702.0,641,59
ck2900000,Medium,123,21745662.0,1024,66
ck2900000,Medium,42,28496130.0,1052,67
ck2800000,High,123,59341293.0,1681,92
ck2800000,High,42,65730201.0,1739,93
ck3000000,Low,42,4109577.0,690,59
ck3000000,Low,123,3725702.0,641,59
ck3000000,Medium,123,21745662.0,1024,66
ck2900000,High,123,59341293.0,1681,92
ck3000000,Medium,42,28558542.0,1064,67
ck2900000,High,42,65730201.0,1739,93
ck3100000,Low,42,3733797.0,687,62
ck3100000,Low,123,3330474.0,681,62
ck3100000,Medium,123,21473626.0,1007,67
ck3000000,High,123,59341293.0,1681,92
ck3000000,High,42,65730201.0,1739,93
ck3100000,Medium,42,28376428.0,1061,68
ck3200000,Low,42,3149321.0,717,65
ck3200000,Low,123,2934764.0,702,66
ck3200000,Medium,123,19318982.0,1040,69
ck3200000,Medium,42,28533893.0,1064,68
ck3100000,High,123,59341293.0,1681,92
ck3100000,High,42,65730201.0,1739,93
ck3300000,Low,42,2651319.0,704,73
ck3300000,Low,123,2648542.0,730,72
ck3300000,Medium,123,15835441.0,994,70
ck3300000,Medium,42,21425434.0,1080,70
ck3200000,High,123,59341293.0,1681,92
ck3200000,High,42,65730201.0,1739,93
ck3400000,Low,42,2572290.0,679,73
ck3400000,Low,123,2394035.0,691,72
ck3400000,Medium,123,16103690.0,970,70
ck3400000,Medium,42,21675903.0,1064,71
ck3300000,High,42,65026887.0,1715,94
ck3300000,High,123,60169211.0,1736,93
ck3500000,Low,42,2478311.0,663,80
ck3500000,Low,123,2433647.0,664,79
ck3500000,Medium,42,11771693.0,1049,77
ck3500000,Medium,123,10243878.0,966,76
ck3400000,High,123,59454266.0,1723,94
ck3400000,High,42,64956874.0,1729,94
ck3600000,Low,42,2268315.0,685,80
ck3600000,Low,123,2170001.0,657,79
ck3600000,Medium,42,11250297.0,1097,76
ck3600000,Medium,123,9805933.0,984,77
ck3500000,High,42,61738774.0,1732,97
ck3500000,High,123,57827534.0,1730,98
ck3700000,Low,42,2256301.0,673,78
ck3700000,Low,123,2069513.0,689,77
ck3700000,Medium,123,11357223.0,1021,74
ck3700000,Medium,42,14093376.0,1076,77
ck3600000,High,123,58476108.0,1701,99
ck3600000,High,42,61297914.0,1716,99
ck3800000,Low,42,2249857.0,719,75
ck3800000,Low,123,2105167.0,693,73
ck3800000,Medium,123,13291349.0,995,71
ck3800000,Medium,42,15575549.0,1061,74
ck3700000,High,123,58536339.0,1671,96
ck3700000,High,42,63006002.0,1754,97
ck3900000,Low,42,2935882.0,707,66
ck3900000,Low,123,2462425.0,699,69
ck3900000,Medium,123,15702919.0,1047,70
ck3900000,Medium,42,20177244.0,1028,70
ck3800000,High,123,58227061.0,1770,95
ck3800000,High,42,61760176.0,1757,96
ck4000000,Low,42,2527982.0,709,69
ck4000000,Low,123,2432100.0,691,69
ck4000000,Medium,123,14738256.0,988,70
ck4000000,Medium,42,17776651.0,1068,71
ck3900000,High,123,58908208.0,1705,92
ck3900000,High,42,64509680.0,1710,93
ck4100000,Low,42,2738190.0,736,68
ck4100000,Low,123,2516967.0,654,69
ck4100000,Medium,123,14420534.0,974,70
ck4000000,High,123,58757001.0,1691,93
ck4100000,Medium,42,17731883.0,1085,71
ck4000000,High,42,62724735.0,1753,94
ck4200000,Low,42,2299518.0,704,75
ck4200000,Low,123,2022963.0,732,75
ck4200000,Medium,123,13349803.0,975,71
ck4200000,Medium,42,16058465.0,1080,73
ck4100000,High,42,62222066.0,1733,94
ck4100000,High,123,58461246.0,1732,93
ck4300000,Low,42,2439628.0,684,70
ck4300000,Low,123,2385958.0,656,70
ck4300000,Medium,42,16364566.0,1099,71
ck4300000,Medium,123,14646552.0,981,70
ck4200000,High,123,57692305.0,1677,94
ck4200000,High,42,62785296.0,1796,95
ck4400000,Low,42,2293624.0,710,75
ck4400000,Low,123,1973318.0,694,76
ck4400000,Medium,123,13474437.0,1025,71
ck4400000,Medium,42,15426004.0,1094,73
ck4300000,High,42,61423511.0,1753,94
ck4300000,High,123,58656683.0,1699,94
ck4500000,Low,42,2392275.0,687,73
ck4500000,Low,123,2119450.0,705,73
ck4500000,Medium,123,14097456.0,995,71
ck4500000,Medium,42,16373236.0,1066,71
ck4400000,High,123,59514194.0,1677,97
ck4400000,High,42,62844474.0,1772,96
ck4600000,Low,123,1874468.0,659,77
ck4600000,Low,42,2169778.0,685,75
ck4600000,Medium,123,13157837.0,1024,71
ck4500000,High,123,57774726.0,1663,95
ck4600000,Medium,42,14566625.0,1099,73
ck4500000,High,42,62785296.0,1796,95
ck4700000,Low,42,2025788.0,672,79
ck4700000,Low,123,1957269.0,672,78
ck4700000,Medium,123,11397991.0,1018,73
ck4700000,Medium,42,12151111.0,1075,74
ck4600000,High,123,61976624.0,1704,96
ck4600000,High,42,68740311.0,1768,97
ck4800000,Low,42,2278744.0,700,73
ck4800000,Low,123,2120753.0,721,73
ck4800000,Medium,123,13537788.0,1028,71
ck4800000,Medium,42,15574414.0,1103,72
ck4700000,High,123,62062236.0,1717,96
ck4700000,High,42,67873808.0,1738,96
ck4900000,Low,42,2264219.0,685,72
ck4900000,Low,123,2201751.0,704,73
ck4900000,Medium,123,13854108.0,999,71
ck4900000,Medium,42,16348928.0,1049,72
ck4800000,High,123,58585366.0,1696,94
ck4800000,High,42,62667576.0,1729,94
ck5000000,Low,42,2850990.0,697,67
ck5000000,Low,123,2488136.0,628,69
ck5000000,Medium,123,15371534.0,997,70
ck5000000,Medium,42,19638593.0,1082,71
ck4900000,High,42,62817128.0,1738,94
ck4900000,High,123,58585366.0,1696,94
ck5100000,Low,42,2976998.0,708,66
ck5100000,Low,123,2507184.0,692,67
ck5000000,High,123,57632879.0,1749,93
ck5000000,High,42,62547593.0,1745,94
ck5100000,Medium,123,16129789.0,998,69
ck5100000,Medium,42,20441165.0,1066,69
ck5200000,Low,42,2604124.0,704,70
ck5200000,Low,123,2303877.0,667,70
ck5200000,Medium,123,15414031.0,1001,71
ck5200000,Medium,42,19238503.0,1085,70
ck5100000,High,123,58496839.0,1722,92
ck5100000,High,42,63287315.0,1700,93
ck5300000,Low,42,2226449.0,685,72
ck5300000,Low,123,2204414.0,652,71
ck5300000,Medium,123,14508763.0,1013,70
ck5200000,High,123,58411194.0,1709,95
ck5300000,Medium,42,17439153.0,1091,71
ck5200000,High,42,63131387.0,1723,95
ck5400000,Low,42,2617407.0,726,68
ck5400000,Low,123,2315781.0,668,70
ck5400000,Medium,123,15350079.0,1014,70
ck5400000,Medium,42,19267906.0,1063,71
ck5300000,High,123,56839614.0,1714,95
ck5300000,High,42,61491080.0,1745,96
ck5500000,Low,42,2603591.0,713,69
ck5500000,Low,123,2444704.0,670,70
ck5500000,Medium,123,15742464.0,1012,70
ck5500000,Medium,42,19877463.0,1085,70
ck5400000,High,123,57498299.0,1713,93
ck5400000,High,42,62663989.0,1728,95
ck5600000,Low,42,2887797.0,694,66
ck5600000,Low,123,2419140.0,636,69
ck5600000,Medium,123,15885103.0,1007,69
ck5600000,Medium,42,20237052.0,1070,69
ck5500000,High,123,58795053.0,1737,94
ck5500000,High,42,62972223.0,1733,94
