steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
100000,High,42,238840464,131575601,-81.5,82717351,-188.7,66379230,-259.8
100000,High,123,922400197,129452763,-612.5,81779118,-1027.9,63204393,-1359.4
200000,High,42,132051212,131575601,-0.4,82717351,-59.6,66379230,-98.9
200000,High,123,122503527,129452763,5.4,81779118,-49.8,63204393,-93.8
300000,High,42,116093251,131575601,11.8,82717351,-40.3,66379230,-74.9
300000,High,123,109571519,129452763,15.4,81779118,-34,63204393,-73.4
400000,High,42,64007120,131575601,51.4,82717351,22.6,66379230,3.6
400000,High,123,59914162,129452763,53.7,81779118,26.7,63204393,5.2
500000,High,42,65677541,131575601,50.1,82717351,20.6,66379230,1.1
500000,High,123,59798516,129452763,53.8,81779118,26.9,63204393,5.4
600000,High,42,65489856,131575601,50.2,82717351,20.8,66379230,1.3
600000,High,123,59452668,129452763,54.1,81779118,27.3,63204393,5.9
700000,High,42,65646308,131575601,50.1,82717351,20.6,66379230,1.1
700000,High,123,59307601,129452763,54.2,81779118,27.5,63204393,6.2
800000,High,42,65464665,131575601,50.2,82717351,20.9,66379230,1.4
800000,High,123,59430033,129452763,54.1,81779118,27.3,63204393,6
900000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
900000,High,123,59307601,129452763,54.2,81779118,27.5,63204393,6.2
1000000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
1000000,High,123,59307601,129452763,54.2,81779118,27.5,63204393,6.2
1100000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
1100000,High,123,59341293,129452763,54.2,81779118,27.4,63204393,6.1
1200000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
1200000,High,123,59307601,129452763,54.2,81779118,27.5,63204393,6.2
1300000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
1300000,High,123,59307601,129452763,54.2,81779118,27.5,63204393,6.2
1400000,High,42,61503377,131575601,53.3,82717351,25.6,66379230,7.3
1400000,High,123,57663523,129452763,55.5,81779118,29.5,63204393,8.8
1500000,High,42,64115615,131575601,51.3,82717351,22.5,66379230,3.4
1500000,High,123,60494294,129452763,53.3,81779118,26,63204393,4.3
1600000,High,42,92729144,131575601,29.5,82717351,-12.1,66379230,-39.7
1600000,High,123,83347081,129452763,35.6,81779118,-1.9,63204393,-31.9
1700000,High,42,64976243,131575601,50.6,82717351,21.4,66379230,2.1
1700000,High,123,59541185,129452763,54,81779118,27.2,63204393,5.8
1800000,High,42,64414059,131575601,51,82717351,22.1,66379230,3
1800000,High,123,60708578,129452763,53.1,81779118,25.8,63204393,3.9
1900000,High,42,64215476,131575601,51.2,82717351,22.4,66379230,3.3
1900000,High,123,59755736,129452763,53.8,81779118,26.9,63204393,5.5
2000000,High,42,65096490,131575601,50.5,82717351,21.3,66379230,1.9
2000000,High,123,59790884,129452763,53.8,81779118,26.9,63204393,5.4
2100000,High,42,64312252,131575601,51.1,82717351,22.3,66379230,3.1
2100000,High,123,59790884,129452763,53.8,81779118,26.9,63204393,5.4
2200000,High,42,62440652,131575601,52.5,82717351,24.5,66379230,5.9
2200000,High,123,58550530,129452763,54.8,81779118,28.4,63204393,7.4
2300000,High,42,61155146,131575601,53.5,82717351,26.1,66379230,7.9
2300000,High,123,57925080,129452763,55.3,81779118,29.2,63204393,8.4
2400000,High,42,61169969,131575601,53.5,82717351,26,66379230,7.8
2400000,High,123,58042865,129452763,55.2,81779118,29,63204393,8.2
2500000,High,42,63516441,131575601,51.7,82717351,23.2,66379230,4.3
2500000,High,123,60510929,129452763,53.3,81779118,26,63204393,4.3
2600000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
2600000,High,123,59341293,129452763,54.2,81779118,27.4,63204393,6.1
2700000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
2700000,High,123,59341293,129452763,54.2,81779118,27.4,63204393,6.1
2800000,High,42,65730201,131575601,50,82717351,20.5,66379230,1
2800000,High,123,59341293,129452763,54.2,81779118,27.4,63204393,6.1
