steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
2300000,High,42,61155146.0,131575601.0,53.5,82717351.0,26.1,66379230.0,7.9
2300000,High,123,57925080.0,129452763.0,55.3,81779118.0,29.2,63204393.0,8.4
2300000,High,1000,65474510.0,132240504.0,50.5,85399702.0,23.3,69046385.0,5.2
2300000,High,1001,60332992.0,125841619.0,52.1,80667850.0,25.2,66800270.0,9.7
2300000,High,1002,57531567.0,121819315.0,52.8,76629692.0,24.9,62630073.0,8.1
2300000,High,1003,63659734.0,129743708.0,50.9,83039455.0,23.3,69550771.0,8.5
2300000,High,1004,67187929.0,130481158.0,48.5,87836340.0,23.5,71206924.0,5.6
2300000,High,1005,56636309.0,120131807.0,52.9,80248044.0,29.4,63425353.0,10.7
2300000,High,1006,58660923.0,127019643.0,53.8,82713681.0,29.1,65976526.0,11.1
2300000,High,1007,59310049.0,126487336.0,53.1,82736989.0,28.3,65146273.0,9.0
2300000,High,1008,61939120.0,127451124.0,51.4,81213303.0,23.7,67780973.0,8.6
2300000,High,1009,55781598.0,123623731.0,54.9,76448703.0,27.0,55560852.0,-0.4
2300000,High,1010,56173193.0,123732538.0,54.6,78854209.0,28.8,60834257.0,7.7
2300000,High,1011,56303148.0,109761482.0,48.7,75966546.0,25.9,61969002.0,9.1
2300000,High,1012,61430524.0,116325149.0,47.2,79717246.0,22.9,67598911.0,9.1
2300000,High,1013,58678316.0,126901860.0,53.8,78921077.0,25.6,64623910.0,9.2
2300000,High,1014,60885758.0,120626462.0,49.5,77921299.0,21.9,65817960.0,7.5
2300000,High,1015,61011590.0,123125065.0,50.4,80679995.0,24.4,68618682.0,11.1
2300000,High,1016,62397864.0,123295341.0,49.4,75664707.0,17.5,60745604.0,-2.7
2300000,High,1017,60521608.0,121220545.0,50.1,77794087.0,22.2,65963702.0,8.3
2300000,High,1018,60477266.0,126440221.0,52.2,79275525.0,23.7,64132171.0,5.7
2300000,High,1019,63678903.0,132262434.0,51.9,84767409.0,24.9,69685749.0,8.6
2300000,High,1020,60062783.0,126941333.0,52.7,80525673.0,25.4,66120111.0,9.2
2300000,High,1021,58886732.0,123607366.0,52.4,78312189.0,24.8,62935543.0,6.4
2300000,High,1022,60673423.0,129057662.0,53.0,82311190.0,26.3,66503360.0,8.8
2300000,High,1023,61999682.0,135707651.0,54.3,86578926.0,28.4,67148856.0,7.7
2300000,High,1024,55726757.0,127493593.0,56.3,81653360.0,31.8,62165745.0,10.4
2300000,High,1025,58108378.0,128444721.0,54.8,81910783.0,29.1,63622895.0,8.7
2300000,High,1026,60514924.0,123312227.0,50.9,79808886.0,24.2,65927414.0,8.2
2300000,High,1027,55653641.0,117488376.0,52.6,76215399.0,27.0,62833096.0,11.4
2300000,High,1028,65210822.0,131068217.0,50.2,83663578.0,22.1,69045239.0,5.6
2300000,High,1029,61794592.0,130147813.0,52.5,83473260.0,26.0,65993559.0,6.4
2300000,High,1030,61243544.0,127152930.0,51.8,83840638.0,27.0,66750607.0,8.3
2300000,High,1031,56174272.0,125443538.0,55.2,77850948.0,27.8,61771003.0,9.1
2300000,High,1032,62266704.0,131471796.0,52.6,84954406.0,26.7,67097441.0,7.2
2300000,High,1033,58086139.0,124088434.0,53.2,75282776.0,22.8,60688571.0,4.3
2300000,High,1034,59376456.0,121192943.0,51.0,77024107.0,22.9,63203974.0,6.1
2300000,High,1035,58887358.0,122377314.0,51.9,78179110.0,24.7,65406656.0,10.0
2300000,High,1036,58700493.0,124664609.0,52.9,80925015.0,27.5,65392702.0,10.2
2300000,High,1037,60524439.0,130394369.0,53.6,83593801.0,27.6,64349411.0,5.9
2300000,High,1038,57803958.0,126227319.0,54.2,79025493.0,26.9,63351728.0,8.8
2300000,High,1039,55395178.0,123605427.0,55.2,78320320.0,29.3,61391437.0,9.8
2300000,High,1040,59876923.0,122911050.0,51.3,83894038.0,28.6,66618858.0,10.1
2300000,High,1041,64166157.0,121420781.0,47.2,83892110.0,23.5,70146690.0,8.5
2300000,High,1042,65639149.0,133777473.0,50.9,84262607.0,22.1,70166355.0,6.5
2300000,High,1043,62886980.0,132736001.0,52.6,84686344.0,25.7,67199569.0,6.4
2300000,High,1044,56510859.0,119599744.0,52.8,74545950.0,24.2,63237452.0,10.6
2300000,High,1337,56972647.0,125972207.0,54.8,79386484.0,28.2,60746029.0,6.2
2300000,High,2026,62414752.0,123784519.0,49.6,79761188.0,21.7,67053195.0,6.9
2300000,High,9999,56100133.0,121062187.0,53.7,77598092.0,27.7,64041740.0,12.4
6000000,High,42,62485525.0,131575601.0,52.5,82717351.0,24.5,66379230.0,5.9
6000000,High,123,57429334.0,129452763.0,55.6,81779118.0,29.8,63204393.0,9.1
6000000,High,1000,66292759.0,132240504.0,49.9,85399702.0,22.4,69046385.0,4.0
6000000,High,1001,59998270.0,125841619.0,52.3,80667850.0,25.6,66800270.0,10.2
6000000,High,1002,55476110.0,121819315.0,54.5,76629692.0,27.6,62630073.0,11.4
6000000,High,1003,63709844.0,129743708.0,50.9,83039455.0,23.3,69550771.0,8.4
6000000,High,1004,67479854.0,130481158.0,48.3,87836340.0,23.2,71206924.0,5.2
6000000,High,1005,57550300.0,120131807.0,52.1,80248044.0,28.3,63425353.0,9.3
6000000,High,1006,59223711.0,127019643.0,53.4,82713681.0,28.4,65976526.0,10.2
6000000,High,1007,59922279.0,126487336.0,52.6,82736989.0,27.6,65146273.0,8.0
6000000,High,1008,61617730.0,127451124.0,51.7,81213303.0,24.1,67780973.0,9.1
