steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
100000,High,580620330.5,130514182.0,-344.9,82248234.5,-605.9,64791811.5,-796.1
200000,High,127277369.5,130514182.0,2.5,82248234.5,-54.7,64791811.5,-96.4
300000,High,112832385.0,130514182.0,13.5,82248234.5,-37.2,64791811.5,-74.1
400000,High,61960641.0,130514182.0,52.5,82248234.5,24.7,64791811.5,4.4
500000,High,62738028.5,130514182.0,51.9,82248234.5,23.7,64791811.5,3.2
600000,High,62471262.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.6
700000,High,62476954.5,130514182.0,52.1,82248234.5,24.0,64791811.5,3.6
800000,High,62447349.0,130514182.0,52.2,82248234.5,24.1,64791811.5,3.6
900000,High,62518901.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1000000,High,62518901.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1100000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1200000,High,62518901.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1300000,High,62518901.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1400000,High,59583450.0,130514182.0,54.3,82248234.5,27.6,64791811.5,8.0
1500000,High,62304954.5,130514182.0,52.3,82248234.5,24.2,64791811.5,3.8
1600000,High,88038112.5,130514182.0,32.5,82248234.5,-7.0,64791811.5,-35.9
1700000,High,62258714.0,130514182.0,52.3,82248234.5,24.3,64791811.5,3.9
1800000,High,62561318.5,130514182.0,52.1,82248234.5,23.9,64791811.5,3.4
1900000,High,61985606.0,130514182.0,52.5,82248234.5,24.6,64791811.5,4.3
2000000,High,62443687.0,130514182.0,52.2,82248234.5,24.1,64791811.5,3.6
2100000,High,62051568.0,130514182.0,52.5,82248234.5,24.6,64791811.5,4.2
2200000,High,60495591.0,130514182.0,53.6,82248234.5,26.4,64791811.5,6.6
2300000,High,59540113.0,130514182.0,54.4,82248234.5,27.6,64791811.5,8.1
2400000,High,59606417.0,130514182.0,54.3,82248234.5,27.5,64791811.5,8.0
2500000,High,62013685.0,130514182.0,52.5,82248234.5,24.6,64791811.5,4.3
2600000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
2700000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
2800000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
2900000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3000000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3100000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3200000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
3300000,High,62598049.0,130514182.0,52.0,82248234.5,23.9,64791811.5,3.4
3400000,High,62205570.0,130514182.0,52.3,82248234.5,24.4,64791811.5,4.0
3500000,High,59783154.0,130514182.0,54.2,82248234.5,27.3,64791811.5,7.7
3600000,High,59887011.0,130514182.0,54.1,82248234.5,27.2,64791811.5,7.6
3700000,High,60771170.5,130514182.0,53.4,82248234.5,26.1,64791811.5,6.2
3800000,High,59993618.5,130514182.0,54.0,82248234.5,27.1,64791811.5,7.4
3900000,High,61708944.0,130514182.0,52.7,82248234.5,25.0,64791811.5,4.8
4000000,High,60740868.0,130514182.0,53.5,82248234.5,26.1,64791811.5,6.3
4100000,High,60341656.0,130514182.0,53.8,82248234.5,26.6,64791811.5,6.9
4200000,High,60238800.5,130514182.0,53.8,82248234.5,26.8,64791811.5,7.0
4300000,High,60040097.0,130514182.0,54.0,82248234.5,27.0,64791811.5,7.3
4400000,High,61179334.0,130514182.0,53.1,82248234.5,25.6,64791811.5,5.6
4500000,High,60280011.0,130514182.0,53.8,82248234.5,26.7,64791811.5,7.0
4600000,High,65358467.5,130514182.0,49.9,82248234.5,20.5,64791811.5,-0.9
4700000,High,64968022.0,130514182.0,50.2,82248234.5,21.0,64791811.5,-0.3
4800000,High,60626471.0,130514182.0,53.5,82248234.5,26.3,64791811.5,6.4
4900000,High,60701247.0,130514182.0,53.5,82248234.5,26.2,64791811.5,6.3
5000000,High,60090236.0,130514182.0,54.0,82248234.5,26.9,64791811.5,7.3
5100000,High,60892077.0,130514182.0,53.3,82248234.5,26.0,64791811.5,6.0
5200000,High,60771290.5,130514182.0,53.4,82248234.5,26.1,64791811.5,6.2
5300000,High,59165347.0,130514182.0,54.7,82248234.5,28.1,64791811.5,8.7
5400000,High,60081144.0,130514182.0,54.0,82248234.5,27.0,64791811.5,7.3
5500000,High,60883638.0,130514182.0,53.4,82248234.5,26.0,64791811.5,6.0
5600000,High,60795871.0,130514182.0,53.4,82248234.5,26.1,64791811.5,6.2
5700000,High,59971712.5,130514182.0,54.0,82248234.5,27.1,64791811.5,7.4
5800000,High,60134096.5,130514182.0,53.9,82248234.5,26.9,64791811.5,7.2
5900000,High,59957429.5,130514182.0,54.1,82248234.5,27.1,64791811.5,7.5
6000000,High,59957429.5,130514182.0,54.1,82248234.5,27.1,64791811.5,7.5
100000,Low,93745535.0,13323576.0,-603.6,4299201.5,-2080.5,3709842.5,-2426.9
200000,Low,36969346.5,13323576.0,-177.5,4299201.5,-759.9,3709842.5,-896.5
300000,Low,7778653.5,13323576.0,41.6,4299201.5,-80.9,3709842.5,-109.7
400000,Low,3172072.5,13323576.0,76.2,4299201.5,26.2,3709842.5,14.5
500000,Low,3183508.5,13323576.0,76.1,4299201.5,26.0,3709842.5,14.2
600000,Low,3382554.0,13323576.0,74.6,4299201.5,21.3,3709842.5,8.8
