steps,scenario,seed
100000,Low,129691
200000,Medium,888224
300000,High,718913
400000,Low,643342
500000,Medium,903535
600000,High,294667
700000,Low,606736
800000,Medium,622238
900000,High,734726
1000000,Low,898164
1100000,Medium,258318
1200000,High,162293
1300000,Low,944215
1400000,Medium,89155
1500000,High,839262
1600000,Low,424032
1700000,Medium,266559
1800000,High,420453
1900000,Low,120501
2000000,Medium,779031
2100000,High,456039
2200000,Low,135069
2300000,Medium,241998
2400000,High,812115
2500000,Low,738537
2600000,Medium,858891
2700000,High,253433
2800000,Low,963277
2900000,Medium,320062
3000000,High,546097
3100000,Low,738060
3200000,Medium,71593
3300000,High,509897
3400000,Low,195399
3500000,Medium,748961
3600000,High,79885
3700000,Low,856221
3800000,Medium,734555
3900000,High,922766
4000000,Low,694813
4100000,Medium,85420
4200000,High,29787
4300000,Low,595596
4400000,Medium,646722
4500000,High,809397
4600000,Low,910072
4700000,Medium,157950
4800000,High,300031
4900000,Low,349330
5000000,Medium,350167
5100000,High,751648
5200000,Low,980258
5300000,Medium,132064
5400000,High,507141
5500000,Low,30664
5600000,Medium,969324
5700000,High,691589
5800000,Low,383973
5900000,Medium,187289
6000000,High,356672
