steps,scenario,seed,ppo_wait,fixed_30s_wait,fixed_45s_wait,fixed_60s_wait,pct_vs_30s,pct_vs_45s,pct_vs_60s,beats_all_fixed
200000,Medium,888224,64875502.0,46294914.0,33645231.0,28645547.0,-40.1,-92.8,-126.5,False
400000,Low,643342,2937881.0,15256262.0,8601991.0,7220505.0,80.7,65.8,59.3,True
100000,Low,129691,101470136.0,13342781.0,9089813.0,5636986.0,-660.5,-1016.3,-1700.1,False
300000,High,718913,113919094.0,122798730.0,79044853.0,62734265.0,7.2,-44.1,-81.6,False
500000,Medium,903535,22315561.0,43209634.0,31101240.0,25404179.0,48.4,28.2,12.2,True
700000,Low,606736,5907400.0,16076393.0,10179046.0,6843807.0,63.3,42.0,13.7,True
600000,High,294667,64729582.0,124368335.0,80711006.0,65957008.0,48.0,19.8,1.9,True
800000,Medium,622238,24871490.0,47631115.0,32469788.0,26322634.0,47.8,23.4,5.5,True
1000000,Low,898164,4382117.0,16806979.0,7076829.0,4220433.0,73.9,38.1,-3.8,False
1100000,Medium,258318,23171131.0,45830101.0,31398677.0,24918954.0,49.4,26.2,7.0,True
900000,High,734726,64961907.0,124037098.0,80757199.0,66930784.0,47.6,19.6,2.9,True
1300000,Low,944215,3534742.0,13590096.0,6002996.0,4324945.0,74.0,41.1,18.3,True
1400000,Medium,89155,12156464.0,45639939.0,31909207.0,23535079.0,73.4,61.9,48.3,True
1200000,High,162293,60897686.0,122206701.0,77696865.0,63752580.0,50.2,21.6,4.5,True
1600000,Low,424032,2303996.0,14624770.0,8910081.0,5586503.0,84.2,74.1,58.8,True
1700000,Medium,266559,18342787.0,44777122.0,30040226.0,24417630.0,59.0,38.9,24.9,True
1500000,High,839262,62417324.0,124906215.0,81087709.0,65245553.0,50.0,23.0,4.3,True
1900000,Low,120501,2206550.0,12669563.0,6189476.0,3866326.0,82.6,64.3,42.9,True
2000000,Medium,779031,20349836.0,50304119.0,34810050.0,29223087.0,59.5,41.5,30.4,True
1800000,High,420453,62817294.0,123727654.0,80007232.0,65591584.0,49.2,21.5,4.2,True
2200000,Low,135069,1879196.0,12073680.0,4939647.0,4437662.0,84.4,62.0,57.7,True
2100000,High,456039,61868640.0,123487701.0,80590281.0,64173798.0,49.9,23.2,3.6,True
2300000,Medium,241998,9939928.0,44591863.0,32270363.0,26975940.0,77.7,69.2,63.2,True
2500000,Low,738537,3835232.0,10809461.0,4899780.0,3559398.0,64.5,21.7,-7.7,False
2400000,High,812115,57080330.0,122012542.0,78477224.0,61468869.0,53.2,27.3,7.1,True
2600000,Medium,858891,25295129.0,47708844.0,33501147.0,26751630.0,47.0,24.5,5.4,True
2800000,Low,963277,4135507.0,11881669.0,5959795.0,3702413.0,65.2,30.6,-11.7,False
2900000,Medium,320062,23262345.0,46432491.0,31145248.0,24328721.0,49.9,25.3,4.4,True
2700000,High,253433,62777916.0,125607473.0,80537010.0,65729988.0,50.0,22.1,4.5,True
3100000,Low,738060,3895958.0,15189727.0,5873181.0,3602583.0,74.4,33.7,-8.1,False
3000000,High,546097,64483345.0,128784056.0,83323786.0,66769438.0,49.9,22.6,3.4,True
