model,scenario,seed,total_wait,arrived,switches
ck2200000,Low,42,2024837.0,674,78
ck2200000,Low,123,1899316.0,693,75
ck2200000,Medium,123,10306916.0,1030,76
ck2200000,Medium,42,11702350.0,1075,75
ck2300000,Low,42,2223477.0,671,76
ck2300000,Low,123,1872500.0,689,75
ck2200000,High,123,58550530.0,1752,94
ck2300000,Medium,123,9727827.0,975,75
ck2300000,Medium,42,10461962.0,1119,77
ck2200000,High,42,62440652.0,1658,96
ck2300000,High,123,57925080.0,1689,94
ck2300000,High,42,61155146.0,1768,96
ck3600000,Low,42,2268315.0,685,80
ck3600000,Low,123,2170001.0,657,79
ck3600000,Medium,42,11250297.0,1097,76
ck3600000,Medium,123,9805933.0,984,77
ck3600000,High,123,58476108.0,1701,99
ck3600000,High,42,61297914.0,1716,99
Fixed_30s,Low,123,12643436.0,684,666
Fixed_30s,Low,42,14003716.0,692,666
ck6000000,Low,123,2276438.0,680,70
ck6000000,Low,42,2234350.0,673,72
Fixed_30s,Medium,123,43047198.0,1023,666
Fixed_30s,Medium,42,48126978.0,1142,666
Fixed_45s,Low,42,4103361.0,694,444
ck6000000,Medium,123,14491665.0,974,70
Fixed_45s,Low,123,4495042.0,681,444
ck6000000,Medium,42,18133798.0,1070,71
Fixed_30s,High,42,131575601.0,1756,666
Fixed_45s,Medium,123,30611948.0,976,444
Fixed_30s,High,123,129452763.0,1687,666
Fixed_45s,Medium,42,34610879.0,1113,444
Fixed_60s,Low,123,3458439.0,699,333
Fixed_60s,Low,42,3961246.0,693,333
ck6000000,High,123,57429334.0,1745,95
ck6000000,High,42,62485525.0,1721,95
Fixed_60s,Medium,123,23553401.0,1008,333
Fixed_45s,High,42,82717351.0,1752,444
Fixed_60s,Medium,42,29913655.0,1063,333
Fixed_45s,High,123,81779118.0,1660,444
Fixed_60s,High,123,63204393.0,1678,333
Fixed_60s,High,42,66379230.0,1674,333
ck2200000,Low,2026,1977820.0,678,76
ck2200000,Low,9999,2037071.0,729,77
ck2200000,Low,1337,2137632.0,717,77
ck2200000,Medium,1337,10852851.0,1117,76
ck2200000,Medium,9999,11959686.0,1028,79
ck2200000,Medium,2026,11637937.0,1052,75
ck2300000,Low,1337,2075205.0,694,77
ck2200000,High,9999,58728734.0,1737,97
ck2200000,High,1337,56779303.0,1810,96
ck2200000,High,2026,61942764.0,1725,94
ck2300000,Low,2026,1933271.0,722,76
ck2300000,Low,9999,2034284.0,717,77
ck2300000,Medium,1337,10518547.0,1068,76
ck2300000,Medium,2026,10229431.0,1094,77
ck2300000,Medium,9999,11893128.0,1064,79
ck3600000,Low,1337,2105094.0,694,80
ck3600000,Low,2026,2285787.0,681,79
ck2300000,High,1337,56972647.0,1763,96
ck2300000,High,2026,62414752.0,1759,94
ck3600000,Low,9999,2284449.0,734,79
ck3600000,Medium,1337,10568237.0,1071,79
ck3600000,Medium,2026,10420315.0,1031,77
ck2300000,High,9999,56100133.0,1723,95
ck3600000,Medium,9999,12529103.0,1040,79
ck6000000,Low,1337,2292357.0,693,72
ck3600000,High,1337,56281479.0,1765,100
ck6000000,Low,2026,2217584.0,686,73
ck6000000,Low,9999,2371985.0,719,73
Fixed_30s,Low,1337,14266343.0,728,666
Fixed_30s,Low,2026,13153386.0,709,666
ck6000000,Medium,1337,16971119.0,1047,71
ck3600000,High,9999,57611317.0,1648,100
ck3600000,High,2026,62567650.0,1753,98
Fixed_30s,Low,9999,15338568.0,693,666
ck6000000,Medium,2026,18617287.0,1069,70
Fixed_30s,Medium,1337,43975724.0,1069,666
Fixed_30s,Medium,2026,46500213.0,1031,666
Fixed_30s,Medium,9999,43941477.0,1037,666
ck6000000,Medium,9999,18364440.0,1052,71
Fixed_45s,Low,1337,7321601.0,684,444
Fixed_45s,Low,2026,4789998.0,715,444
Fixed_45s,Low,9999,8954470.0,737,444
Fixed_45s,Medium,1337,31623348.0,1052,444
Fixed_30s,High,1337,125972207.0,1727,666
Fixed_45s,Medium,2026,35413825.0,1055,444
Fixed_45s,Medium,9999,31381719.0,1037,444
Fixed_30s,High,2026,123784519.0,1774,666
Fixed_30s,High,9999,121062187.0,1709,666
Fixed_60s,Low,1337,5150328.0,693,333
Fixed_60s,Low,2026,3856957.0,694,333
Fixed_60s,Low,9999,6645444.0,716,333
ck6000000,High,1337,56749971.0,1738,95
Fixed_45s,High,1337,79386484.0,1716,444
ck6000000,High,2026,62265941.0,1751,96
Fixed_60s,Medium,1337,26279226.0,1076,333
ck6000000,High,9999,56995173.0,1720,96
Fixed_45s,High,2026,79761188.0,1763,444
Fixed_60s,Medium,9999,26513216.0,1049,333
Fixed_60s,Medium,2026,28828100.0,1034,333
Fixed_45s,High,9999,77598092.0,1733,444
Fixed_60s,High,1337,60746029.0,1780,333
Fixed_60s,High,2026,67053195.0,1720,333
Fixed_60s,High,9999,64041740.0,1772,333
