steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
2200000,High,42,62440652.0,131575601.0,52.5,82717351.0,24.5,66379230.0,5.9
2200000,High,123,58550530.0,129452763.0,54.8,81779118.0,28.4,63204393.0,7.4
2200000,High,1337,56779303.0,125972207.0,54.9,79386484.0,28.5,60746029.0,6.5
2200000,High,2026,61942764.0,123784519.0,50.0,79761188.0,22.3,67053195.0,7.6
2200000,High,9999,58728734.0,121062187.0,51.5,77598092.0,24.3,64041740.0,8.3
2300000,High,42,61155146.0,131575601.0,53.5,82717351.0,26.1,66379230.0,7.9
2300000,High,123,57925080.0,129452763.0,55.3,81779118.0,29.2,63204393.0,8.4
2300000,High,1337,56972647.0,125972207.0,54.8,79386484.0,28.2,60746029.0,6.2
2300000,High,2026,62414752.0,123784519.0,49.6,79761188.0,21.7,67053195.0,6.9
2300000,High,9999,56100133.0,121062187.0,53.7,77598092.0,27.7,64041740.0,12.4
3600000,High,42,61297914.0,131575601.0,53.4,82717351.0,25.9,66379230.0,7.7
3600000,High,123,58476108.0,129452763.0,54.8,81779118.0,28.5,63204393.0,7.5
3600000,High,1337,56281479.0,125972207.0,55.3,79386484.0,29.1,60746029.0,7.3
3600000,High,2026,62567650.0,123784519.0,49.5,79761188.0,21.6,67053195.0,6.7
3600000,High,9999,57611317.0,121062187.0,52.4,77598092.0,25.8,64041740.0,10.0
6000000,High,42,62485525.0,131575601.0,52.5,82717351.0,24.5,66379230.0,5.9
6000000,High,123,57429334.0,129452763.0,55.6,81779118.0,29.8,63204393.0,9.1
6000000,High,1337,56749971.0,125972207.0,55.0,79386484.0,28.5,60746029.0,6.6
6000000,High,2026,62265941.0,123784519.0,49.7,79761188.0,21.9,67053195.0,7.1
6000000,High,9999,56995173.0,121062187.0,52.9,77598092.0,26.6,64041740.0,11.0
2200000,Low,42,2024837.0,14003716.0,85.5,4103361.0,50.7,3961246.0,48.9
2200000,Low,123,1899316.0,12643436.0,85.0,4495042.0,57.7,3458439.0,45.1
2200000,Low,1337,2137632.0,14266343.0,85.0,7321601.0,70.8,5150328.0,58.5
2200000,Low,2026,1977820.0,13153386.0,85.0,4789998.0,58.7,3856957.0,48.7
2200000,Low,9999,2037071.0,15338568.0,86.7,8954470.0,77.3,6645444.0,69.3
2300000,Low,42,2223477.0,14003716.0,84.1,4103361.0,45.8,3961246.0,43.9
