steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
2200000,High,59688396.6,126369455.4,52.8,80248446.6,25.6,64284917.4,7.2
2300000,High,58913551.6,126369455.4,53.4,80248446.6,26.6,64284917.4,8.4
3600000,High,59246893.6,126369455.4,53.1,80248446.6,26.2,64284917.4,7.8
6000000,High,59185188.8,126369455.4,53.2,80248446.6,26.2,64284917.4,7.9
2200000,Low,2015335.2,13881089.8,85.5,5932894.4,66.0,4614482.8,56.3
2300000,Low,2027747.4,13881089.8,85.4,5932894.4,65.8,4614482.8,56.1
3600000,Low,2222729.2,13881089.8,84.0,5932894.4,62.5,4614482.8,51.8
6000000,Low,2278542.8,13881089.8,83.6,5932894.4,61.6,4614482.8,50.6
2200000,Medium,11291948.0,45118318.0,75.0,32728343.8,65.5,27017519.6,58.2
2300000,Medium,10566179.0,45118318.0,76.6,32728343.8,67.7,27017519.6,60.9
3600000,Medium,10914777.0,45118318.0,75.8,32728343.8,66.7,27017519.6,59.6
6000000,Medium,17315661.8,45118318.0,61.6,32728343.8,47.1,27017519.6,35.9
