steps,scenario,seed
10000,Low,553887
20000,Medium,262369
30000,High,805671
40000,Low,972858
50000,Medium,502849
60000,High,559738
70000,Low,684181
80000,Medium,924353
90000,High,104308
100000,Low,150208
110000,Medium,418368
120000,High,658784
130000,Low,18676
140000,Medium,25078
150000,High,552663
160000,Low,43501
170000,Medium,309201
180000,High,922019
190000,Low,344065
200000,Medium,973692
210000,High,235078
220000,Low,257211
230000,Medium,646674
240000,High,593609
250000,Low,503252
260000,Medium,733077
270000,High,332131
280000,Low,176941
290000,Medium,985486
300000,High,474135
310000,Low,132816
320000,Medium,941
330000,High,180462
340000,Low,692718
350000,Medium,221297
360000,High,418372
370000,Low,439483
380000,Medium,633262
390000,High,166094
400000,Low,405410
410000,Medium,93858
420000,High,642522
430000,Low,744418
440000,Medium,456953
450000,High,182017
460000,Low,449801
470000,Medium,761677
480000,High,537975
490000,Low,419226
500000,Medium,528511
510000,High,421696
520000,Low,954689
530000,Medium,975901
540000,High,906669
550000,Low,532771
560000,Medium,346928
570000,High,275445
580000,Low,244373
590000,Medium,914803
600000,High,514968
610000,Low,635840
620000,Medium,414003
630000,High,600706
640000,Low,538137
650000,Medium,889088
660000,High,830499
670000,Low,993837
680000,Medium,146429
690000,High,152478
700000,Low,852565
710000,Medium,524514
720000,High,387657
730000,Low,144104
740000,Medium,987058
750000,High,624582
760000,Low,982547
770000,Medium,291086
780000,High,299817
790000,Low,960390
800000,Medium,284515
810000,High,100078
820000,Low,666738
830000,Medium,781651
840000,High,647459
850000,Low,207251
860000,Medium,348144
870000,High,984715
880000,Low,328023
890000,Medium,95374
900000,High,114405
910000,Low,385484
920000,Medium,892478
930000,High,604127
940000,Low,447846
950000,Medium,196090
960000,High,99448
970000,Low,222490
980000,Medium,104790
990000,High,414427
1000000,Low,407795
1010000,Medium,874736
1020000,High,732608
1030000,Low,235692
1040000,Medium,764133
1050000,High,751363
1060000,Low,591571
1070000,Medium,596604
1080000,High,571255
1090000,Low,109588
1100000,Medium,597197
1110000,High,316207
1120000,Low,215450
1130000,Medium,809206
1140000,High,606759
1150000,Low,389154
1160000,Medium,8820
1170000,High,247805
1180000,Low,457863
1190000,Medium,948782
1200000,High,699771
1210000,Low,795120
1220000,Medium,222155
1230000,High,802525
1240000,Low,907915
1250000,Medium,296814
1260000,High,872073
1270000,Low,27977
1280000,Medium,324145
1290000,High,809010
1300000,Low,764074
1310000,Medium,749785
1320000,High,921707
1330000,Low,841099
1340000,Medium,651931
1350000,High,644578
1360000,Low,698718
1370000,Medium,39372
1380000,High,185590
1390000,Low,172390
1400000,Medium,265388
1410000,High,686768
1420000,Low,306388
1430000,Medium,880366
1440000,High,236474
1450000,Low,506400
1460000,Medium,142814
1470000,High,542144
1480000,Low,475589
1490000,Medium,352234
1500000,High,18731
1510000,Low,39707
1520000,Medium,839309
1530000,High,824232
1540000,Low,149397
1550000,Medium,473565
1560000,High,100555
1570000,Low,650758
1580000,Medium,802647
1590000,High,128413
1600000,Low,487336
1610000,Medium,331603
1620000,High,184838
1630000,Low,634265
1640000,Medium,607248
1650000,High,822244
1660000,Low,605769
1670000,Medium,407694
1680000,High,667028
1690000,Low,786879
1700000,Medium,897064
1710000,High,60290
1720000,Low,427148
1730000,Medium,624744
1740000,High,125646
1750000,Low,771215
1760000,Medium,616166
1770000,High,731509
1780000,Low,191550
1790000,Medium,19450
1800000,High,563946
1810000,Low,994112
1820000,Medium,433734
1830000,High,113302
1840000,Low,593131
1850000,Medium,54873
1860000,High,744102
1870000,Low,311156
1880000,Medium,11623
1890000,High,167638
1900000,Low,326560
1910000,Medium,953505
1920000,High,862713
1930000,Low,193632
1940000,Medium,352510
1950000,High,227425
1960000,Low,390417
1970000,Medium,928454
1980000,High,967741
1990000,Low,935799
2000000,Medium,140974
2010000,High,325823
2020000,Low,437759
2030000,Medium,578223
2040000,High,820558
2050000,Low,260151
2060000,Medium,607337
2070000,High,347614
2080000,Low,75330
2090000,Medium,232976
2100000,High,444150
2110000,Low,327007
2120000,Medium,824917
2130000,High,270583
2140000,Low,793500
2150000,Medium,787822
2160000,High,40304
2170000,Low,864885
2180000,Medium,760679
2190000,High,906042
2200000,Low,561039
2210000,Medium,862170
2220000,High,550325
2230000,Low,150570
2240000,Medium,457298
2250000,High,366958
2260000,Low,353795
2270000,Medium,64072
2280000,High,344871
2290000,Low,127662
2300000,Medium,795262
2310000,High,163710
2320000,Low,366738
2330000,Medium,60613
2340000,High,924390
2350000,Low,884881
2360000,Medium,560825
2370000,High,162159
2380000,Low,327774
2390000,Medium,438493
2400000,High,769191
2410000,Low,953068
2420000,Medium,511835
2430000,High,440523
2440000,Low,15595
2450000,Medium,573596
2460000,High,546021
2470000,Low,295964
2480000,Medium,40862
2490000,High,86750
2500000,Low,273657
2510000,Medium,874813
2520000,High,848744
2530000,Low,215515
2540000,Medium,185361
2550000,High,265545
2560000,Low,663593
2570000,Medium,341547
2580000,High,381510
2590000,Low,143986
2600000,Medium,620599
2610000,High,538771
2620000,Low,480442
2630000,Medium,865711
2640000,High,712144
2650000,Low,877786
2660000,Medium,965370
2670000,High,393227
2680000,Low,357659
2690000,Medium,841911
2700000,High,376535
2710000,Low,120124
2720000,Medium,141722
2730000,High,276001
2740000,Low,501449
2750000,Medium,353195
2760000,High,882677
2770000,Low,543946
2780000,Medium,433453
2790000,High,515709
2800000,Low,106267
2810000,Medium,725071
2820000,High,121595
2830000,Low,281388
2840000,Medium,161196
2850000,High,676884
2860000,Low,512338
2870000,Medium,393207
2880000,High,820720
2890000,Low,821992
2900000,Medium,499328
2910000,High,65155
2920000,Low,772362
2930000,Medium,918333
2940000,High,520592
2950000,Low,144320
2960000,Medium,713584
2970000,High,722726
2980000,Low,45960
2990000,Medium,557057
3000000,High,687617
3010000,Low,1803
3020000,Medium,723455
3030000,High,519382
3040000,Low,318925
3050000,Medium,727009
3060000,High,24604
3070000,Low,961019
3080000,Medium,310630
3090000,High,294229
3100000,Low,684816
3110000,Medium,372688
3120000,High,986065
3130000,Low,984418
3140000,Medium,199860
3150000,High,509033
3160000,Low,686407
3170000,Medium,667099
3180000,High,225230
3190000,Low,416556
3200000,Medium,6974
3210000,High,161715
3220000,Low,544336
3230000,Medium,679771
3240000,High,977519
3250000,Low,522142
3260000,Medium,278315
3270000,High,881479
3280000,Low,863392
3290000,Medium,351553
3300000,High,629249
3310000,Low,821545
3320000,Medium,298981
3330000,High,279545
3340000,Low,170879
3350000,Medium,368518
3360000,High,511129
3370000,Low,513900
3380000,Medium,182015
3390000,High,175237
3400000,Low,873692
3410000,Medium,250994
