model,scenario,seed,total_wait,arrived,switches
ck10000,Low,123,34785050.0,702,114
ck10000,Low,42,50132187.0,690,136
ck30000,Low,123,86432705.0,670,181
ck30000,Low,42,101058365.0,718,220
ck30000,Medium,123,132880014.0,1004,296
ck10000,Medium,123,131424527.0,1010,308
ck10000,Medium,42,131280865.0,1088,315
ck30000,Medium,42,142351082.0,1064,325
ck10000,High,42,232822732.0,1795,531
ck50000,Low,123,83225398.0,663,181
ck50000,Low,42,99001082.0,700,218
ck10000,High,123,923049948.0,1417,1119
ck50000,Medium,123,134612806.0,977,312
ck50000,Medium,42,141134237.0,1072,320
ck30000,High,123,922400197.0,1419,1126
ck30000,High,42,903136107.0,1527,1120
ck50000,High,123,957592435.0,1361,505
ck50000,High,42,959398852.0,1431,502
ck70000,Low,42,922271321.0,596,355
ck70000,Low,123,918282423.0,556,356
ck70000,Medium,42,938008364.0,850,355
ck70000,Medium,123,925446549.0,825,368
ck70000,High,42,963231684.0,1439,366
ck70000,High,123,956476316.0,1378,375
ck90000,Low,123,918462168.0,557,362
ck90000,Low,42,926879465.0,581,355
ck90000,Medium,42,938430696.0,923,357
ck90000,Medium,123,922838006.0,790,379
ck110000,Low,42,926937382.0,595,354
ck90000,High,42,963646051.0,1475,391
ck110000,Low,123,918568321.0,601,363
ck90000,High,123,964004845.0,1442,378
ck110000,Medium,42,938430696.0,923,357
ck110000,Medium,123,922822519.0,789,380
ck110000,High,123,964473649.0,1403,378
ck130000,Low,42,927706213.0,601,492
ck130000,Low,123,919325998.0,580,502
ck110000,High,42,961141021.0,1448,401
ck130000,Medium,42,938801648.0,897,507
ck130000,Medium,123,922857569.0,789,534
ck130000,High,123,962655985.0,1392,513
ck150000,Low,42,927144914.0,596,359
ck130000,High,42,961363573.0,1446,533
ck150000,Low,123,919184040.0,554,368
ck150000,Medium,42,938924314.0,908,359
ck150000,Medium,123,925866458.0,851,384
ck150000,High,123,981051016.0,1441,397
ck150000,High,42,992677172.0,1432,415
ck170000,Low,42,927719183.0,594,499
ck170000,Low,123,919643825.0,584,507
ck170000,Medium,42,938973764.0,891,514
ck170000,Medium,123,922857569.0,789,534
ck170000,High,123,964462677.0,1404,515
ck170000,High,42,963350417.0,1430,525
ck190000,Low,42,927209294.0,564,357
ck190000,Low,123,919034253.0,585,363
ck190000,Medium,42,938924314.0,908,359
ck190000,Medium,123,925892792.0,853,384
ck190000,High,123,981931005.0,1463,399
ck190000,High,42,992044947.0,1415,415
ck210000,Low,42,926951712.0,581,359
ck210000,Low,123,918784884.0,573,363
ck210000,Medium,42,938924314.0,908,359
ck210000,Medium,123,922822519.0,789,380
ck210000,High,42,963355872.0,1430,390
ck210000,High,123,964473649.0,1403,378
ck230000,Low,42,926986301.0,592,514
ck230000,Low,123,918552887.0,583,519
ck230000,Medium,42,938420449.0,923,513
ck230000,Medium,123,922822519.0,789,535
