steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
10000,High,577936340.0,130514182.0,-342.8,82248234.5,-602.7,64791811.5,-792.0
30000,High,912768152.0,130514182.0,-599.4,82248234.5,-1009.8,64791811.5,-1308.8
50000,High,958495643.5,130514182.0,-634.4,82248234.5,-1065.4,64791811.5,-1379.3
70000,High,959854000.0,130514182.0,-635.4,82248234.5,-1067.0,64791811.5,-1381.4
90000,High,963825448.0,130514182.0,-638.5,82248234.5,-1071.8,64791811.5,-1387.6
110000,High,962807335.0,130514182.0,-637.7,82248234.5,-1070.6,64791811.5,-1386.0
130000,High,962009779.0,130514182.0,-637.1,82248234.5,-1069.6,64791811.5,-1384.8
150000,High,986864094.0,130514182.0,-656.1,82248234.5,-1099.9,64791811.5,-1423.1
170000,High,963906547.0,130514182.0,-638.5,82248234.5,-1071.9,64791811.5,-1387.7
190000,High,986987976.0,130514182.0,-656.2,82248234.5,-1100.0,64791811.5,-1423.3
210000,High,963914760.5,130514182.0,-638.6,82248234.5,-1072.0,64791811.5,-1387.7
230000,High,962044737.0,130514182.0,-637.1,82248234.5,-1069.7,64791811.5,-1384.8
250000,High,961786996.5,130514182.0,-636.9,82248234.5,-1069.4,64791811.5,-1384.4
270000,High,961926589.0,130514182.0,-637.0,82248234.5,-1069.5,64791811.5,-1384.6
290000,High,963426257.5,130514182.0,-638.2,82248234.5,-1071.4,64791811.5,-1387.0
310000,High,566754832.5,130514182.0,-334.2,82248234.5,-589.1,64791811.5,-774.7
330000,High,565276825.0,130514182.0,-333.1,82248234.5,-587.3,64791811.5,-772.5
350000,High,236009311.0,130514182.0,-80.8,82248234.5,-186.9,64791811.5,-264.3
370000,High,962729601.0,130514182.0,-637.6,82248234.5,-1070.5,64791811.5,-1385.9
390000,High,234817593.0,130514182.0,-79.9,82248234.5,-185.5,64791811.5,-262.4
410000,High,959297798.5,130514182.0,-635.0,82248234.5,-1066.3,64791811.5,-1380.6
430000,High,964186834.5,130514182.0,-638.8,82248234.5,-1072.3,64791811.5,-1388.1
450000,High,962359368.5,130514182.0,-637.4,82248234.5,-1070.1,64791811.5,-1385.3
470000,High,962320563.0,130514182.0,-637.3,82248234.5,-1070.0,64791811.5,-1385.3
490000,High,965166726.5,130514182.0,-639.5,82248234.5,-1073.5,64791811.5,-1389.6
510000,High,234457070.5,130514182.0,-79.6,82248234.5,-185.1,64791811.5,-261.9
530000,High,236098372.5,130514182.0,-80.9,82248234.5,-187.1,64791811.5,-264.4
550000,High,963132763.5,130514182.0,-638.0,82248234.5,-1071.0,64791811.5,-1386.5
570000,High,964033293.0,130514182.0,-638.6,82248234.5,-1072.1,64791811.5,-1387.9
590000,High,964774447.5,130514182.0,-639.2,82248234.5,-1073.0,64791811.5,-1389.0
610000,High,235168971.5,130514182.0,-80.2,82248234.5,-185.9,64791811.5,-263.0
630000,High,580662867.0,130514182.0,-344.9,82248234.5,-606.0,64791811.5,-796.2
650000,High,113247026.5,130514182.0,13.2,82248234.5,-37.7,64791811.5,-74.8
670000,High,113035276.5,130514182.0,13.4,82248234.5,-37.4,64791811.5,-74.5
690000,High,112282910.0,130514182.0,14.0,82248234.5,-36.5,64791811.5,-73.3
710000,High,112256631.5,130514182.0,14.0,82248234.5,-36.5,64791811.5,-73.3
730000,High,114235767.5,130514182.0,12.5,82248234.5,-38.9,64791811.5,-76.3
750000,High,114235767.5,130514182.0,12.5,82248234.5,-38.9,64791811.5,-76.3
770000,High,170825948.5,130514182.0,-30.9,82248234.5,-107.7,64791811.5,-163.7
790000,High,106513443.0,130514182.0,18.4,82248234.5,-29.5,64791811.5,-64.4
810000,High,157799451.5,130514182.0,-20.9,82248234.5,-91.9,64791811.5,-143.5
830000,High,106530428.5,130514182.0,18.4,82248234.5,-29.5,64791811.5,-64.4
850000,High,104329052.0,130514182.0,20.1,82248234.5,-26.8,64791811.5,-61.0
870000,High,94976289.0,130514182.0,27.2,82248234.5,-15.5,64791811.5,-46.6
890000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
910000,High,61461793.5,130514182.0,52.9,82248234.5,25.3,64791811.5,5.1
