steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s,beats_all_fixed
10000,Low,880718,53644287.0,12998792.0,-312.7,7544008.0,-611.1,4527866.0,-1084.8,False
20000,Medium,790311,141776514.0,45228955.0,-213.5,33843786.0,-318.9,28740514.0,-393.3,False
30000,High,806907,957866317.0,121757034.0,-686.7,80934483.0,-1083.5,66774243.0,-1334.5,False
40000,Low,845938,90034679.0,16301258.0,-452.3,9930449.0,-806.7,8406270.0,-971.0,False
50000,Medium,585625,132973148.0,47758134.0,-178.4,34413916.0,-286.4,29857659.0,-345.4,False
60000,High,971849,237340128.0,130111503.0,-82.4,82234565.0,-188.6,64562654.0,-267.6,False
70000,Low,635919,880204134.0,13323475.0,-6506.4,5024665.0,-17417.7,3958376.0,-22136.5,False
80000,Medium,206435,939247299.0,47889291.0,-1861.3,35922745.0,-2514.6,30955490.0,-2934.2,False
90000,High,15529,966939098.0,128196624.0,-654.3,81078187.0,-1092.6,66818019.0,-1347.1,False
100000,Low,962961,912186861.0,11049584.0,-8155.4,5957760.0,-15210.9,4834960.0,-18766.5,False
110000,Medium,226499,934868891.0,46338924.0,-1917.5,33388607.0,-2700.0,28676519.0,-3160.1,False
120000,High,8066,964111419.0,130036740.0,-641.4,81642998.0,-1080.9,65550542.0,-1370.8,False
130000,Low,978312,880775158.0,14520606.0,-5965.7,7525999.0,-11603.1,4403212.0,-19903.0,False
140000,Medium,80681,929202736.0,47421892.0,-1859.4,33067167.0,-2710.0,26893589.0,-3355.1,False
150000,High,747696,976330949.0,119163263.0,-719.3,77779705.0,-1155.3,63303069.0,-1442.3,False
160000,Low,72890,893670318.0,9770450.0,-9046.7,3461544.0,-25717.1,3446280.0,-25831.4,False
170000,Medium,929728,936139870.0,44997460.0,-1980.4,31971143.0,-2828.1,23305311.0,-3916.9,False
180000,High,207974,963150395.0,118332801.0,-713.9,75417406.0,-1177.1,61210747.0,-1473.5,False
190000,Low,142134,900070483.0,13290855.0,-6672.1,7257425.0,-12302.1,5564909.0,-16074.0,False
200000,Medium,973540,937769849.0,48785913.0,-1822.2,36751459.0,-2451.7,31206034.0,-2905.1,False
210000,High,815886,961219258.0,116847698.0,-722.6,76843480.0,-1150.9,64602864.0,-1387.9,False
220000,Low,657487,891604022.0,14772254.0,-5935.7,4764875.0,-18612.0,4165811.0,-21302.9,False
230000,Medium,775839,928212410.0,46840577.0,-1881.6,33681654.0,-2655.8,26823533.0,-3360.4,False
240000,High,704423,963459563.0,129890765.0,-641.7,83591308.0,-1052.6,64965014.0,-1383.0,False
250000,Low,843055,903600790.0,10907300.0,-8184.4,5544682.0,-16196.7,4081972.0,-22036.4,False
260000,Medium,364803,932566415.0,50645196.0,-1741.4,34383156.0,-2612.3,29356925.0,-3076.6,False
270000,High,671555,958542172.0,120857322.0,-693.1,80242243.0,-1094.6,67196750.0,-1326.5,False
280000,Low,384009,905731071.0,12478257.0,-7158.5,4592279.0,-19622.9,4490267.0,-20071.0,False
290000,Medium,692172,931602242.0,45539438.0,-1945.7,32142195.0,-2798.4,26225048.0,-3452.3,False
300000,High,925891,961769396.0,126826762.0,-658.3,81534720.0,-1079.6,66254776.0,-1351.6,False
310000,Low,435206,919269359.0,14470240.0,-6252.8,5555293.0,-16447.6,4035148.0,-22681.6,False
320000,Medium,16175,938250527.0,47727324.0,-1865.9,35709920.0,-2527.4,30635489.0,-2962.6,False
